,TT,TÊN SÁCH,Giá Bìa,VAT,TÁC GIẢ,KHỔ SÁCH,THỂ LOẠI,SỐ TRANG,NĂM XB,NXB,TÌNH TRẠNG,YÊU CẦU VAT
Xuất bản Khác,H01,Bệnh tưởng,36000,"34.285,71",Molière,"11,5 x 18 cm","Văn học Pháp, kịch",108,2022,NXB Hội nhà văn,Sold out,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H02,Người biển lận,36000,"34.285,71",Molière,"11,5 x 18 cm","Văn học Pháp, kịch",120,2022,NXB Hội nhà văn,Sold out,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H03,Trưởng giả học làm sang,36000,"34.285,71",Molière,"11,5 x 18 cm","Văn học Pháp, kịch",116,2022,NXB Hội nhà văn,Sold out,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H05,Khách,99000,"94.285,71",Nguyễn Chí Hoan,"12,5 x 20 cm","Văn học Việt Nam, thơ",100,2022,NXB Hội nhà văn,Sold out,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H21,Le Spleen de Paris (Bìa tím),99000,"94.285,71",Baudelaire,"13,5 x 20 cm","Văn học Pháp, tản văn, du ký",180,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H04,Ondine,63000,"60.000,00",La Motte-Fouqué,13 x 20 cm,"Văn học Đức, truyện cổ tích",128,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H06,Không có vua,42000,"40.000,00",Cao Việt Dũng,"13,5 x 20 cm","Văn học Việt Nam, phê bình",80,2022,NXB Hội nhà văn,Sold out,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H07,Vĩnh biệt,45000,"42.857,14",Balzac,"13,5 x 20 cm","Văn học Pháp, tiểu thuyết",100,2022,NXB Hội nhà văn,Sold out,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H08,Tục ca lệ,45000,"42.857,14",Lesage,"11,5 x 18 cm","Văn học Pháp, kịch",146,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H09,Tê-lê-mặc phiêu lưu ký,153000,"145.714,29",Fénelon,"13,5 x 20,5 cm","Văn học Pháp, kịch",464,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H10,Tâm hồn và hình thức,135000,"128.571,43",Lukács,"13,5 x 20,5 cm","Triết học, phê bình",280,2022,NXB Tri thức,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H11,Mộc thần nữ,45000,"42.857,14",Andersen,"13,5 x 20,5 cm","Văn học Đan Mạch, truyện cổ tích",116,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H12,Một câu chuyện từ những đụn cát,54000,"51.428,57",Andersen,"13,5 x 20,5 cm","Văn học Đan Mạch, truyện cổ tích",128,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H13,Nàng tình nhân hờ,45000,"42.857,14",Balzac,"13,5 x 20,5 cm","Văn học Pháp, tiểu thuyết",112,2022,NXB Hội nhà văn,Sold out,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H14,Tiện bút 1,81000,"77.142,86",Cao Việt Dũng,"13,5 x 20,5 cm","Văn học Việt Nam, tản văn",180,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H15,Middlemarch - Tập 1,199000,"189.523,81",George Eliot,"13,5 x 20 cm","Văn học Anh, tiểu thuyết",628,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H16,Miếng da lừa,153000,"145.714,29",Balzac,"13,5 x 20 cm","Văn học Anh, tiểu thuyết",400,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H17,Ba người ngự lâm pháo thủ,189000,"180.000,00",Dumas,"13,5 x 20 cm","Văn học Pháp, tiểu thuyết",680,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,72000,"68.571,43",Cervantes,"13,5 x 20 cm","Văn học Tây Ban Nha, truyện ngụ ngôn",160,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H19,Truyện con chó Berganza,90000,"85.714,29",Cervantes,"13,5 x 20 cm","Văn học Tây Ban Nha, truyện ngụ ngôn",224,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H20,Lịch sử (ngắn) văn chương Đức,126000,"120.000,00",Lukács,"13,5 x 20 cm","Lịch sử, triết học",240,2022,NXB Tri thức,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H22,Middlemarch - Tập 2,198000,"188.571,43",George Eliot,"13,5 x 20 cm","Văn học Anh, tiểu thuyết",536,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H23,Truyện Gil-Blas (tập 1),144000,"137.142,86",Lesage,"13,5 x 20 cm","Văn học Pháp, tiểu thuyết",380,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H24,Truyện Gil-Blas (tập 2),144000,"137.142,86",Lesage,"13,5 x 20 cm","Văn học Pháp, tiểu thuyết",400,2022,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H25,Đốc tờ Héraclius Gloss,72000,"68.571,43",Maupassant,"13,5 x 18,4 cm","Văn học Pháp, tiểu thuyết",108,2023,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H26,Đoản luận về giáo dục,144000,"137.142,86",Alain,"12,8 x 19,5 cm","Triết học, lý thuyết giáo dục",268,2023,NXB Tri thức,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H27,Tiệc vườn,144000,"137.142,86",Katherine Mansfield,"13,5 x 20 cm","Văn học Anh, truyện ngắn",252,2023,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H28,Ở nhà trọ Đức,72000,"68.571,43",Katherine Mansfield,"13,5 x 20 cm","Văn học Anh, truyện ngắn",132,2023,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H30,Soi gương,120000,"114.285,71",Tử Yên Nguyễn Thu Thuỷ,"13 x 20,5 cm","Văn học Việt Nam, tản văn",236,2023,NXB Phụ nữ Việt Nam,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H31,Một chuyến đi,90000,"85.714,29",Tử Yên Nguyễn Thu Thuỷ,"12,5 x 20 cm","Văn học Việt Nam, tản văn du ký",136,2023,NXB Phụ nữ Việt Nam,,NGỪNG XUẤT HĐ ĐẦU RA
FORMApubli,H49,In illo tempore,111900,"106.571,43",Nguyễn Thụy Đan,"11,8 x 19,3 cm","Văn học Việt Nam, thơ",112,2024,NXB Thanh Niên,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H41,Cháu trai Wittgenstein,63000,"60.000,00",Thomas Bernhard,"11,5 x 18 cm","Văn học Đức, truyện dài",128,2023,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H40,Đoản luận: Văn chương,144000,"137.142,86",Alain,"12,8 x 19,5 cm",Phê bình văn học,292,2023,NXB Hội nhà văn,,NGỪNG XUẤT HĐ ĐẦU RA
Xuất bản Khác,H29,Một dấu hiệu của Tình yêu,180000,"171.428,57",Tử Yên Nguyễn Thu Thuỷ,"13,5 x 20 cm","Văn học Việt Nam, tản văn",320,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H32,Những người châu Âu,144000,"137.142,86",Henry James,"13,5 x 20 cm","Văn học Mỹ, tiểu thuyết",240,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H33,Giống như là chết,171000,"162.857,14",Maupassant,"13,5 x 20 cm","Văn học Pháp, tiểu thuyết",330,2023,NXB Phụ nữ Việt Nam,,có
Xuất bản Khác,H34,Những hiệu quế,72000,"68.571,43",Bruno Schulz,"14 x 20,5 cm","Văn học Ba Lan, truyện dài, tản văn",160,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H35,Hành trình tình cảm,144000,"137.142,86",Laurence Sterne,"13,5 x 20 cm","Văn học Anh, du ký",236,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H36,Le Spleen de Paris (Tái bản) - Bìa trắng,99000,"94.285,71",Baudelaire,"12,5 x 20 cm","Văn học Pháp, tản văn",180,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H37,Họa sĩ của cuộc sống hiện đại,64000,"60.952,38",Baudelaire,"12,8 x 19,5 cm","Văn học Pháp, tản văn, phê bình",128,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H38,Con quái vật trong rừng và Bàn thờ người chết,63000,"60.000,00",Henry James,"12,5 x 20 cm","Văn học Mỹ, truyện dài",136,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H39,Giáo dục châu Âu,180000,"171.428,57",Romain Gary,"13,5 x 20 cm","Văn học Pháp, tiểu thuyết",328,2023,NXB Hội nhà văn,,có
Xuất bản Khác,H42,Các khía cạnh của tiểu thuyết,81000,"77.142,86",E. M. Forster,"12,8 x 20,5 cm",Phê bình văn học,192,2024,NXB Hội nhà văn,,có
Xuất bản Khác,H43,Jacket trắng,198000,"188.571,43",Melville,"13,5 x 20 cm","Văn học Mỹ, tiểu thuyết",492,2024,NXB Hội nhà văn,,có
Xuất bản Khác,H44,Ba truyện đời,117000,"111.428,57",Gertrude Stein,"13,5 x 20 cm","Văn học Mỹ, tiểu thuyết",260,2024,NXB Hội nhà văn,,có
Xuất bản Khác,H45,Vẽ một phụ nữ,234000,"222.857,14",Henry James,"14 x 20,5 cm","Văn học Mỹ, tiểu thuyết",672,2024,NXB Hội nhà văn,,có
FORMApubli,H46,Bốn tình yêu,88900,"84.666,67",CS Lewis,"11,5 x 18 cm","Triết học, tiểu luận",272,2024,NXB Phụ nữ Việt Nam,,có
FORMApubli,H47,Daisy Miller & Di sản Aspern,123900,"118.000,00",Henry James,"13,5 x 20 cm","Văn học Mỹ, tiểu thuyết",220,2024,NXB Phụ nữ Việt Nam,,có
FORMApubli,H48,Dưỡng đường đồng hồ cát,127900,"121.809,52",Bruno Schulz,"12,8 x 19,5 cm",Tiểu luận - phê bình,160,2024,NXB Phụ nữ Việt Nam,,có
FORMApubli,H50,Hotel Savoy,77000,"73.333,33",Joseph Roth,"13,2x19,8cm ","Văn học Áo-Do Thái, tiểu thuyết",176,2024,NXB Thanh Niên,,có
FORMApubli,H51,Ngắn,99000,"94.285,71",Melville,"12x18,5cm","Văn học Mỹ, tiểu thuyết",320,2024,NXB Thanh Niên,,có
FORMApubli,H52,Chuyện các bà vợ già,222000,"211.428,57",Arnold Bennett,"13,8x20,7cm","Văn học Anh, tiểu thuyết",656,2024,NXB Thanh Niên,,có
FORMApubli,H53,Giữa đất và nước,99000,"94.285,71",Joseph Conrad ,128 x 195mm,Tập truyện ngắn,264,2024,NXB Dân trí,,có
