,,Mỗi kỳ,Trực tiếp (theo kỳ),Trực tiếp (lẻ),Ký gửi,Mua đứt,Mua khác,Độc giả cũ,Thư viện,Đầu nậu,TỔNG THU,Donate/ fund,,,,,,,,,,,,TỔNG CHI,In-gia công,"Bản thảo 
(incld copyrights)",Vận hành,Nợ (YTD),Tồn đại lý
2024,Tháng 6,Hạ 16/6: 340k,"44,121,000đ","7,511,700đ","15,015,335đ","28,538,893đ",0đ,,"8,324,500đ",0đ,"103,511,428đ","12,000,000đ",,,,,,,,,,,,,,,,,
,Tháng 7,,,"11,110,000đ","21,858,467đ","1,425,255đ",0đ,,"1,387,000đ",0đ,"35,780,722đ",,,,,,,,,,,,,,,,,,"207,979,842đ"
,Tháng 8,,,"11,340,000đ","18,536,813đ","8,517,795đ",0đ,,0đ,0đ,"38,394,608đ",,,,,,,,,,,,,,,,,,"251,131,440đ"
,Tháng 9,illo: 112k,"6,350,000đ",,,,0đ,,0đ,0đ,"103,740,000đ",,,,,,,,,,,,,,,,,,
,,l'été 22/9: 398k,"47,872,000đ","7,821,000đ","13,330,000đ","8,367,000đ","20,000,000đ",,0đ,"6,253,000đ",,,,,,,,,,,,,,,,,,,"239,708,756đ"
,Tháng 10,,,"6,645,000đ","23,115,000đ","18,542,076đ","4,100,000đ","850,000đ","5,080,000đ","1,875,000đ","60,207,076đ",,,,,,,,,,,,,,,,,,"217,592,158đ"
,Tháng 11,11/11: 3 quyển đầu thu,"38,901,000đ","691,700đ","12,694,000đ","2,572,000đ",,,0đ,0đ,"54,858,700đ",,,,,,,,,,,,,,,,,,
,Tháng 12,25/12: gửi nốt 8q thu,"59,592,000đ","3,769,700đ","25,393,390đ","12,754,000đ","3,981,000đ","2,019,500đ",0đ,0đ,"107,509,590đ",,,,,,,,,,,,,,,,,,
TỔNG 2024,,"$1,961,000.00",,,,,,,,,"504,002,124đ",,,,,,,,,,,,,,,,,,
2025,Tháng 1,,0đ,"8,630,800đ","12,525,000đ",0đ,"8,330,600đ",,0đ,0đ,"29,486,400đ","60,000,000đ",,,,,,,,,,,,,,,,,
,tháng 2,,"836,000đ","4,184,000đ","24,481,200đ","4,232,000đ","2,615,000đ","1,961,000đ",0đ,0đ,"38,309,200đ","90,000,000đ",,,,,,,,,,,,,,,,,
