TÊN SÁCH,Giá Bìa,TỔNG,HỘI SÁCH MÙA XUÂN,HỘI SÁCH MÙA THU,HAS,ĐSQ BA LAN
Bệnh tưởng,36000,0,,,,
Người biển lận,36000,0,,,,
Trưởng giả học làm sang,36000,0,,,,
Khách,99000,0,,,,
Le Spleen de Paris (Bìa tím),99000,10,5,5,,
Ondine,63000,4,2,2,,
Không có vua,42000,0,0,,,
Vĩnh biệt,45000,0,0,,,
Nàng tình nhân hờ,45000,4,2,2,,
Tục ca lệ,45000,2,1,1,,
Tê-lê-mặc phiêu lưu ký,153000,6,3,3,,
Tâm hồn và hình thức,135000,6,3,3,,
Mộc thần nữ,45000,10,5,5,,
Một câu chuyện từ những đụn cát,54000,2,1,1,,
Tiện bút 1,81000,4,2,2,,
Middlemarch - Tập 1,199000,0,0,,,
Miếng da lừa,153000,4,2,2,,
Ba người ngự lâm pháo thủ,189000,10,5,5,,
Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,72000,6,3,3,,
Truyện con chó Berganza,90000,6,3,3,,
Lịch sử (ngắn) văn chương Đức,126000,2,1,1,,
Middlemarch - Tập 2,198000,0,0,,,
Truyện Gil-Blas (tập 1),144000,2,1,1,,
Truyện Gil-Blas (tập 2),144000,2,1,1,,
Đốc tờ Héraclius Gloss,72000,2,1,1,,
Đoản luận về giáo dục,144000,12,6,6,,
Tiệc vườn,144000,4,2,2,,
Ở nhà trọ Đức,72000,2,1,1,,
Một dấu hiệu của Tình yêu,180000,4,2,2,,
Soi gương,120000,2,1,1,,
Một chuyến đi,90000,8,4,4,,
Những người châu Âu,144000,0,0,,,
Giống như là chết,171000,4,2,2,,
Những hiệu quế,72000,2,1,1,,
Hành trình tình cảm,144000,4,2,2,,
Le Spleen de Paris (Tái bản) - Bìa trắng,99000,0,0,,,
Họa sĩ của cuộc sống hiện đại,64000,6,3,3,,
Con quái vật trong rừng và Bàn thờ người chết,63000,4,2,2,,
Giáo dục châu Âu,180000,0,0,,,
Đoản luận: Văn chương,144000,6,3,3,,
Cháu trai Wittgenstein,63000,4,2,2,,
Các khía cạnh của tiểu thuyết,81000,0,0,,,
Jacket trắng,198000,0,0,,,
Ba truyện đời,117000,2,1,1,,
Vẽ một phụ nữ,234000,0,0,,,
Bốn tình yêu,88900,2,1,1,,
Daisy Miller & Di sản Aspern,123900,0,0,,,
Dưỡng đường đồng hồ cát,127900,2,1,1,,
Hotel Savoy,77000,0,0,,,
Ngắn,99000,0,0,,,
Chuyện các bà vợ già,222000,0,0,,,
In illo tempore,111900,0,0,,,
Giữa đất và nước,99000,2,1,1,,
Ngợp,99000,4,2,2,,
Ba lối tới hồ,88000,8,4,4,,
Bão lớn,122000,2,1,1,,
Những chuyến dạo chơi,77000,8,4,4,,
May,133000,0,0,,,
Nghĩ,69500,8,4,4,,
Người lính tốt,66000,0,0,,,
Gentleman cắn thuốc phiện,69500,8,4,4,,
Nghề sống,133000,2,1,1,,
Hành khúc Radetzky,155000,0,0,,,
Sa mạc tình yêu,95000,0,0,,,
"Job, tiểu thuyết về một người thuần hậu",110000,6,3,3,,
Tristram Shandy,250000,4,2,2,,
Một người tên là Thứ Năm,141000,2,1,1,,
Washington Square,141000,2,1,1,,
Lý thuyết tầng lớp nhàn rỗi,215000,2,1,1,,
Những nỗi hoảng hốt của cậu học sinh Torless,138000,0,0,,,
Ông cha đạo ở Wakefield,146000,0,0,,,
Người phụ tá,158000,0,0,,,
Tay điệp viên,202000,0,0,,,
Tên mọi trên tàu Narcissus,133000,0,0,,,
Khác thời đại,132000,0,0,,,
Anh em Tanner,166000,0,0,,,
Nhà xứ cũ,355000,0,0,,,
Jakob von Gunten,111000,0,,,,
Đốt kho,133000,0,,,,
Ferdydurke,150000,5,,5,,
Malte Laurids Brigge,136000,10,,10,,
