Tháng 6-12/2024,,,,
,nộp,tồn,loại,kênh
Đông Tây,"48,451,124",0,mua đứt,shopee
Hamvas Bela,"38,863,800","40,723,800",ký gửi,FB
Bình,"34,912,200",0,ký gửi,shopee
Hoàng Thu Phố,"14,533,820",0,ký gửi,FB
Diêu bông,"12,231,690",0,mua đứt,FB
Demedi,"11,831,875",0,mua đứt,physical
wild cat,"9,271,269",0,mua đứt,physical
Việt Bình Phước,"8,020,000",0,mua đứt,physical
Bá Tân,"7,092,995",0,mua đứt,physical
Trang cuối,"7,055,160",0,mua đứt,physical
Hanoibook,"6,252,000 ₫","64,848,000 ₫",đầu nậu,
Cricket,"7,325,185","6,824,805",ký gửi,physical
Sách nhà Thơm,"3,408,500","19,489,700",ký gửi,physical
Quỳnh Lâm Thư quán,"3,398,150",0,mua đứt,FB
Thư hiên dịch trường,"2,416,295","16,659,580",ký gửi,website
Bookworm,"2,313,500","5,071,150",ký gửi,physical
Tân Việt,"1,875,962","28,078,378",đầu nậu,physical
Bookstop,"1,615,250",0,mua đứt,physical
Hiệu sách của gió,"1,425,255",0,mua đứt,FB
Tổ chim Xanh,"1,270,220","2,852,940",ký gửi,physical
Reading Cabin,"960,000","4,001,950",ký gửi,physical
Quán Thi,"958,582","1,135,780",ký gửi,physical
Quán sách mùa thu,"577,800","9,308,304",ký gửi,physical
Gian sách Lyk,0,"2,115,536",ký gửi,FB
Chiến Trường Phương,0 ₫,"35,385,000 ₫",lừa đảo,
