"Thời điểm 
bắt đầu",Type,Đại Lý,VAT?,% ck,Tiền về TK nào?,Tổng phải thanh toán ,Tổng đã thanh toán,Tổng tồn/ nợ,Nhập,Thanh toán,action,Địa chỉ hiệu sách,Địa chỉ gửi sách,Thông tin công ty,Contact
,,,,,,"205,519,417","81,622,422","123,896,995",,,,,,,
Tháng 6,Ký gửi,"Bình bán Book:  
có đơn nào thanh toán đơn đó",C,30,CT,"67,314,050","70,026,050","-2,712,000","trả:
đ1- 4/2025: 1.521.000 
đ2- 5/2025: 1.191.000","2026
          1/2025: 5,325,948đ
          2/2025: 
          3/2025: 
          4/2025: 
          5/2025: 
          6/2025: 
          7/2025:
          8/2025: 
          9/2025:
          10/2025: 
          11/2025:
          12/2025:
",đã thanh toán,,"anh Bình 0972605129
Số 5, Ngách 20, Ngõ 1 Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, TP. Hà Nội, Việt Nam ","Tên DN: CÔNG TY TNHH BÌNH BOOK
 MST: 0109641386
Địa chỉ:  Số 5, Ngách 20, Ngõ 1 Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, TP. Hà Nội, Việt Nam 
Điện thoại: 0972605129
Email:  binhbook.official@gmail.com","Bình bán Book
https://www.facebook.com/binhbanbookofficial

binhbookofficial@gmail.com
"
Tháng 7,Ký gửi,Đông Tây,C,35-37,CT,"224,006,490","170,142,454","53,864,036",nhập Tồn,"2026
          1/2025: 26434800
          2/2025: 
          3/2025: 
          4/2025: 
          5/2025: 
          6/2025: 
          7/2025:
          8/2025: 
          9/2025:
          10/2025: 
          11/2025:
          12/2025:
",yêu cầu thanh toán,,"15 Lê Văn Thiêm, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội
Mr Hải 0913014332 ","Tên đơn vị (Company's name): CÔNG TY TNHH VĂN HÓA ĐÔNG TÂY
Mã số thuế (Tax code): 0100950823-002
Địa chỉ (Address): Nhà N11A, Đơn Nguyên 3, Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","Đông Tây

doantuhoan@gmail.com"
Cuối Tháng 6,Ký gửi,Hamvas Bela,K,40,LA,"82,103,100","49,455,780","32,647,320","- Lần 1: 29/5/2024
- Lần 2: 17/6/24
- Tháng 10: 10,315,800đ
- T11+12: 14.220.000
- T7/2025: 2514900",,đã thanh toán,online,"Nguyễn Đình Huy
Địa chỉ: Chùa Trăm Gian -  xã. Tiên Phương - huyện Chương Mỹ - TP. Hà Nội
Sđt: 0868966049
(Địa chỉ có thể thay đổi mỗi lần đặt)",,"Hamvas bela
https://www.facebook.com/profile.php?id=100063899023535

dinhhuy1692000tp@gmail.com"
bắt đầu lại từtháng11,Ký gửi,Cricket,K,35%,LA,"26,357,450","8,291,660","18,065,790","23/11: 5,854,800
30/11: 3,003,000đ
19/12: 5.775.000
5/2/2025: 11.724.650",,yêu cầu báo cáo,,98 MAI ANH TUẤN,,
Tháng 8,Ký gửi,Sách nhà Thơm,K,30,LA,"32,179,400","6,466,700","25,712,700","- 5/8/2024: 17.469.900 ₫
- Tháng 10: 3,569,300đ
-tháng 11: 1859000
T12: 7737000
THÁNG 1: 1544200",,yêu cầu báo cáo,,"015 Lô B, Chung cư 43 Hồ Văn Huê Phường 9 Quận Phú Nhuận Hồ Chí Minh
0964263620
Chị Nhiên",FB: Nhà Thơm Cafe Sách huongduong1608@gmail.com,
Bắt đầu từ 2/2026,Ký gửi,Cánh Cung book,VAT,30%,CT,,,,,"2026
          1/2025:
          2/2025: 
          3/2025: 
          4/2025: 
          5/2025: 
          6/2025: 
          7/2025:
          8/2025: 
          9/2025:
          10/2025: 
          11/2025:
          12/2025:",,,,,
"Tháng 9
5/9",Ký gửi,Bookworm HN,C,35,CT,"9,279,840","5,507,500","3,772,340","5/9/24: 6.721.780
5/10/24: 662870
5/11: 215670
5/12: 776930
12/2: 902590","""2026
          1/2025: 
          2/2025: 
          3/2025: 
          4/2025: 
          5/2025: 
          6/2025: 
          7/2025:
          8/2025: 
          9/2025:
          10/2025: 
          11/2025:
          12/2025:""",yêu cầu thanh toán,,"Gửi anh Trường 0912561800 - địa chỉ số 44 Phạm Hồng Thái, phường Trúc Bạch, quận Ba Đình
",,"Bookworm
""https://www.facebook.com/hoang.vantruong.58"
thág 10,Ký gửi,things_atelier,k,,LA,"1,143,000đ",0,"1,143,000","5/9/24: 1.143.000đ
","""2025
          10/2025:
          11/2025:
          12/2025:
",yêu cầu báo cáo,,"Phan Quang Trường
079 2235200
210 Cô Bắc, phường Cô Giang, quận 1",,
Tháng 7,Ký gửi,Tổ chim Xanh,K,30,LA,"7,010,660","5,228,260","1,782,400","- Tháng 7/24: 1192000
- Tháng 9: 1070790
- tháng 11: 860 370
- tháng 11-2: 1.000.000
- tháng 12: 2.887.500","
2025
          1+2/2025: 624000
          3+4/25: 1097040
          5+6/25: 579.880đ",yêu cầu báo cáo,,,,"Tổ Chim Xanh
Nancy
nguyenngoan.ftu51@gmail.com"
