,,Con quái vật trong rừng và Bàn thờ người chết ,27
,,Đốt kho,18
,,Middlemarch - Tập 1,17
,,Middlemarch - Tập 2 ,17
,,Nàng tình nhân hờ ,16
,,Những hiệu quế,12
,,Dưỡng đường đồng hồ cát,12
,,Ở nhà trọ Đức,11
,,Bốn tình yêu,11
,,Jakob von Gunten,11
,,Giống như là chết ,10
,,Anh em Tanner,10
,,Tiệc vườn,9
,,Các khía cạnh của tiểu thuyết,9
,,Hotel Savoy,9
,,Ba lối tới hồ,9
,,Lý thuyết tầng lớp nhàn rỗi,9
,,Cháu trai Wittgenstein,8
,,Những chuyến dạo chơi,8
,,Đốc tờ Héraclius Gloss,7
,,Vẽ một phụ nữ,7
,,Giữa đất và nước,7
,,Ngợp,7
,,Nghĩ,7
,,Gentleman cắn thuốc phiện,7
,,Nghề sống,7
,,Tristram Shandy,7
,,Le Spleen de Paris (Tái bản) ,6
,,Đoản luận: Văn chương ,6
,,Ba truyện đời ,6
,,In illo Tempore,6
,,Bão lớn,6
,,Người phụ tá,6
,,Nhà xứ cũ,6
,,Tê-lê-mặc phiêu lưu ký ,5
,,Một câu chuyện từ những đụn cát ,5
,,Daisy Miller & Di sản Aspern,5
,,Ngắn,5
,,Người lính tốt,5
,,Hành khúc Radetzky,5
,,Sa mạc tình yêu,5
,,"Job, tiểu thuyết về một người thuần hậu",5
,,Tiện bút 1,4
,,Truyện Gil-Blas (tập 1),4
,,Truyện Gil-Blas (tập 2) ,4
,,Giáo dục châu Âu ,4
,,Chuyện các bà vợ già,4
,,May,4
,,Một người tên là Thứ Năm,4
,,Tên mọi trên tàu Narcissus,4
,,Tâm hồn và hình thức,3
,,Mộc thần nữ ,3
,,Miếng da lừa ,3
,,Lịch sử (ngắn) văn chương Đức,3
,,Đoản luận về giáo dục,3
,,Một dấu hiệu của Tình yêu,3
,,Những người châu Âu ,3
,,Hành trình tình cảm,3
,,Jacket trắng ,3
,,Washington Square,3
,,Những nỗi hoảng hốt của cậu học sinh Torless,3
,,Tay điệp viên,3
,,Khác thời đại,3
,,Ondine ,2
,,Không có vua ,2
,,Tục ca lệ,2
,,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2
,,Họa sĩ của cuộc sống hiện đại ,2
,,Ba người ngự lâm pháo thủ,1
,,Ông cha đạo ở Wakefield,1
,,Bệnh tưởng ,0
,,Người biển lận,0
,,Trưởng giả học làm sang ,0
,,Khách ,0
,,Vĩnh biệt ,0
,,Truyện con chó Berganza ,0
,,Le Spleen de Paris ,0
,,Soi gương,0
,,Một chuyến đi ,0
