STT,TÊN SÁCH,,,Logistics,,,TẶNG,,,,,Tổng Bán,Tổng trực tiếp,Tổng trung gian,% trung gian,,,,,,,,,
,,,TỔNG TẶNG,LỖI,Lưu chiểu/dịch giả,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",LẺ,Kỳ CT,ĐẠI LÝ,MUA ĐỨT,,,Đại lý+mua đứt,,,,,,,,,,
,,"Xuất
4/2026",,,,,,,,,,,,,,,,,,,,,,
,,728,126,0,40,1,85,31,128,443,80,602,159,80,"13,29",,đt,bình,hamvas,Hộp,khai tâm,Hoàng thu phố,Diêu bông,bw
1,Bệnh tưởng ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
2,Người biển lận,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
3,Trưởng giả học làm sang ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
4,Khách ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
5,Ondine ,5,0,,,,,,,5,0,5,0,0,0,,5,,,,,,,
6,Không có vua ,5,5,,,,5,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
7,Vĩnh biệt ,1,0,,,,,,,1,0,1,0,0,0,,,,1,,,,,
8,Tục ca lệ,1,0,,,,,,,1,0,1,0,0,0,,1,,,,,,,
9,Tê-lê-mặc phiêu lưu ký ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
10,Tâm hồn và hình thức,1,0,,,,,,,1,0,1,0,0,0,,1,,,,,,,
11,Mộc thần nữ ,8,0,,,,,,,8,0,8,0,0,0,,8,,,,,,,
12,Một câu chuyện từ những đụn cát ,3,0,,,,,,,3,0,3,0,0,0,,3,,,,,,,
13,Nàng tình nhân hờ ,17,0,,,,,1,,16,0,17,1,0,0,,15,,1,,,,,
14,Tiện bút 1,3,0,,,,,,,3,0,3,0,0,0,,3,,,,,,,
15,Middlemarch - Tập 1,111,0,,,,,5,,106,1,111,5,1,1,,105,,1,,1,,,
16,Miếng da lừa ,5,0,,,,,,,5,0,5,0,0,0,,4,,1,,,,,
17,Ba người ngự lâm pháo thủ,4,0,,,,,,,4,0,4,0,0,0,,4,,,,,,,
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,1,0,,,,,,,1,0,1,0,0,0,,1,,,,,,,
19,Truyện con chó Berganza ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
20,Lịch sử (ngắn) văn chương Đức,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
21,Le Spleen de Paris ,1,1,,,,1,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
