Bình bán Book:  ,https://docs.google.com/spreadsheets/d/170Zw4iEGkqj7gZRr4aCS4IWfGbZ1ORSJD49AhXa2QeI/edit?gid=1267706425#gid=1267706425
Đông Tây,https://docs.google.com/spreadsheets/d/1s2myD1cUHGafAFK79PtahMM80pMkksUPR_pmFscX4tg/edit?gid=1164540991#gid=1164540991
Hamvas Bela,https://docs.google.com/spreadsheets/d/1QuCYxhwoZu2W9D76sEzrdHOusoY3stLFhnbTwmQQ8JE/edit?gid=820492630#gid=820492630
Sách nhà Thơm,https://docs.google.com/spreadsheets/d/1R9ZAl2SIJ25BQdsNlzb-cgSAiBnqk6Va1iCPjoagUvI/edit?gid=1248745552#gid=1248745552
The Madeleine Bookshop,https://docs.google.com/spreadsheets/d/1wDy8y6GcURijKqbDMVdb3xuwoeHwdXr6uqNvgDdhAgQ/edit?gid=1209536031#gid=1209536031
Cricket,https://docs.google.com/spreadsheets/d/1pawZJwasJNqV7aieMmf808m6i7QiS9y74eFvruJoNOk/edit?gid=2080543212#gid=2080543212
Bookworm HN,https://docs.google.com/spreadsheets/d/1Z3TVCYhs_CzfQNvYEcwlnQE7_cV-epvXBnhQkSAa-6E/edit?gid=0#gid=0
Tổ chim Xanh,https://docs.google.com/spreadsheets/d/1r1Fc0KnuoWdL0XPuiVQ6bBQxKPofm23phGQeRWOlzbc/edit?gid=654434728#gid=654434728
MỤ HOA ĐINH LỄ,https://docs.google.com/spreadsheets/d/1_KRPtF75Ojy4wi7PHa2p9fUFqDtqGfsdWfd3p9TQZrA/edit?gid=0#gid=0
Quán sách mùa thu,https://docs.google.com/spreadsheets/d/1KD26wINa0gSnC4i6lucJ3Djy6u5y52ryGSw099Th_0I/edit?gid=0#gid=0
KHAI TÂM,https://docs.google.com/spreadsheets/d/1eBpTPCtKTBXCrHjNXlJFiGmdWwoT0Uvl1wqGfyJp6H4/edit?gid=251280137#gid=251280137
trang cuối,https://docs.google.com/spreadsheets/d/19IU5MkBinDmb-ey6wMTnYZCwpVT2q_Zak7-HNhD9rCo/edit?gid=0#gid=0
demedi,https://docs.google.com/spreadsheets/d/1UjDeULd4eqRTTB7X_kZYzxP0VOrz9mZggtn7EUdRXWA/edit?gid=0#gid=0
htp,https://docs.google.com/spreadsheets/d/17T76bnBMZ6v7usZG-u4adz3UgLDdpAxLhDWWEa8GRvE/edit?gid=651194560#gid=651194560
tri văn,https://docs.google.com/spreadsheets/d/1XTBLS3JJLBR2KntGC-EUV9Ps2vEgdMtW6ene2RuV5d8/edit?gid=0#gid=0
Diêu bông,https://docs.google.com/spreadsheets/d/1-jO6mvHdDDfHOs5tzH535mxPuCDaCWLo1UcfYFKylho/edit?gid=0#gid=0
Thư hiên dịch trường,
hiệu sách của gió,
quỳnh lâm thư quán,
wild cat,
sách việt bình phước - bá tân,
Quán Thi,
Gian sách Lyk,
Reading Cabin,
,
ĐÀU NẬU,
TÂN VIỆT,https://docs.google.com/spreadsheets/d/1Hr2DFEkyz0wbQy81BWLKRG8Wf1ZfVzSNcgUwIRhZCbg/edit?gid=0#gid=0
HANOI BOOK,https://docs.google.com/spreadsheets/d/1e_ackRVraan9kX1w0Ydla2AEojDlqfcr5igiP2YeOBE/edit?gid=989759699#gid=989759699
TRƯỜNG PHƯƠNG,https://docs.google.com/spreadsheets/d/16me0q_r-5FvyP1duYgZtWZhbuZEPjJJ5t-0By0ynS1U/edit?gid=76195254#gid=76195254
