,Trung gian,Trực tiếp,Tổng,% trung gian
,2792,766,2.812,99
Bệnh tưởng ,2,0,2,100
Người biển lận,1,0,1,100
Trưởng giả học làm sang ,1,0,1,100
Khách ,0,0,0,#DIV/0!
Ondine ,30,2,28,107
Không có vua ,17,0,17,100
Vĩnh biệt ,42,5,40,105
Tục ca lệ,17,5,18,94
Tê-lê-mặc phiêu lưu ký ,9,2,9,100
Tâm hồn và hình thức,27,3,26,104
Mộc thần nữ ,61,9,59,103
Một câu chuyện từ những đụn cát ,52,10,51,102
Nàng tình nhân hờ ,71,7,72,99
Tiện bút 1,18,3,20,90
Middlemarch - Tập 1,18,9,23,78
Miếng da lừa ,42,2,35,120
Ba người ngự lâm pháo thủ,11,1,10,110
Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,15,7,11,136
Truyện con chó Berganza ,14,8,11,127
Lịch sử (ngắn) văn chương Đức,14,1,14,100
Le Spleen de Paris ,9,3,11,82
Middlemarch - Tập 2 ,18,7,21,86
Truyện Gil-Blas (tập 1),9,2,9,100
Truyện Gil-Blas (tập 2) ,7,1,6,117
Đốc tờ Héraclius Gloss,25,4,23,109
Đoản luận về giáo dục,23,1,23,100
Tiệc vườn,33,5,35,94
Ở nhà trọ Đức,25,3,26,96
Một dấu hiệu của Tình yêu,12,2,12,100
Soi gương,5,0,5,100
Một chuyến đi ,9,2,7,129
Những người châu Âu ,7,3,7,100
Giống như là chết ,39,7,38,103
Những hiệu quế,54,10,56,96
Hành trình tình cảm,20,3,17,118
Le Spleen de Paris (Tái bản) ,22,5,25,88
Họa sĩ của cuộc sống hiện đại ,29,6,31,94
Con quái vật trong rừng và Bàn thờ người chết ,74,9,78,95
Giáo dục châu Âu ,16,4,19,84
Đoản luận: Văn chương ,25,1,24,104
Cháu trai Wittgenstein,19,4,22,86
Các khía cạnh của tiểu thuyết,77,7,77,100
Jacket trắng ,13,2,15,87
Ba truyện đời ,14,0,14,100
Vẽ một phụ nữ,20,9,26,77
Bốn tình yêu,74,13,75,99
Daisy Miller & Di sản Aspern,22,6,27,81
Dưỡng đường đồng hồ cát,68,11,72,94
In illo Tempore,60,36,91,66
Hotel Savoy,42,9,48,88
Ngắn,36,10,41,88
Chuyện các bà vợ già,33,6,37,89
Giữa đất và nước,49,18,62,79
Ngợp,47,13,50,94
Ba lối tới hồ,56,10,61,92
Bão lớn,40,19,51,78
Người lính tốt,64,10,64,100
Những chuyến dạo chơi,83,16,90,92
May,58,25,69,84
Nghĩ,79,26,97,81
Gentleman cắn thuốc phiện,94,22,111,85
Nghề sống,90,20,97,93
Hành khúc Radetzky,52,20,64,81
SA MẠC TÌNH YÊU,84,93,168,50
JOB,56,83,133,42
TRISTRAM SHANDY,63,90,151,42
Một người tên là Thứ Năm,122,13,22,555
Washington Square,105,3,15,700
Lý thuyết tầng lớp nhàn rỗi,140,10,26,538
Những nỗi hoảng hốt của cậu học sinh Torless,109,10,15,727
