STT,TÊN SÁCH,,,Logistics,,,,TẶNG,,,,,Tổng Bán,Tổng trực tiếp,Tổng trung gian,% trung gian,,,,,,,,,
,,,TỔNG TẶNG,LỖI,Lưu chiểu/dịch giả,Hội sách mùa xuân,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",LẺ,Hội chợ ,Kỳ LO,ĐẠI LÝ,,,Đại lý+mua đứt,,,,,,,,,,
,,"Xuất
4/2026",,,,,,,,,,,,,,,,,,,,,,,
,,932,,9,95,14,2,44,34,239,196,299,768,469,257,"33,46",,đt,bình,hamvas,dế,bw,thơm,Madelein,hoa đinh lễ
1,Bệnh tưởng ,0,0,,,,,,,,,0,0,0,0,#DIV/0!,,,,,,,,,
2,Người biển lận,0,0,,,,,,,,,0,0,0,0,#DIV/0!,,,,,,,,,
3,Trưởng giả học làm sang ,0,0,,,,,,,,,0,0,0,0,#DIV/0!,,,,,,,,,
4,Khách ,0,0,,,,,,,,,0,0,0,0,#DIV/0!,,,,,,,,,
5,Ondine ,2,0,,,,,,,1,,1,2,1,1,50,,1,,,,,,,
6,Không có vua ,8,1,,,1,,,,7,,0,7,7,0,0,,,,,,,,,
7,Vĩnh biệt ,5,0,,,,,,1,4,,0,5,5,0,0,,,,,,,,,
8,Tục ca lệ,3,0,,,,,,,3,,0,3,3,0,0,,,,,,,,,
9,Tê-lê-mặc phiêu lưu ký ,0,0,,,,,,,0,,0,0,0,0,#DIV/0!,,,,,,,,,
10,Tâm hồn và hình thức,4,0,,,,,,,4,,0,4,4,0,0,,,,,,,,,
11,Mộc thần nữ ,10,2,,,,,2,,7,,1,8,7,1,13,,1,,,,,,,
12,Một câu chuyện từ những đụn cát ,11,2,,,,,2,,4,,5,9,4,5,56,,5,,,,,,,
13,Nàng tình nhân hờ ,19,0,,,,,,1,4,,14,19,5,14,74,,14,,,,,,,
14,Tiện bút 1,9,0,, ,,,,1,6,,2,9,7,2,22,,2,,,,,,,
15,Middlemarch - Tập 1,10,1,,,1,,,,1,,8,9,1,8,89,,8,,,,,,,
16,Miếng da lừa ,14,1,,,1,,,3,5,,5,13,8,5,38,,3,,,2,,,,
17,Ba người ngự lâm pháo thủ,4,0,,,,,,,2,,2,4,2,2,50,,1,1,,,,,,
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,3,0,,,,,,1,2,,0,3,3,0,0,,,,,,,,,
19,Truyện con chó Berganza ,7,0,,,,,,,7,,0,7,7,0,0,,,,,,,,,
20,Lịch sử (ngắn) văn chương Đức,4,0,,,,,,,2,,2,4,2,2,50,,2,,,,,,,
21,Le Spleen de Paris ,12,3,,,2,,1,,9,,0,9,9,0,0,,,,,,,,,
22,Middlemarch - Tập 2 ,9,0,,,,,,,1,,8,9,1,8,89,,8,,,,,,,
23,Truyện Gil-Blas (tập 1),0,0,,,,,,,0,,0,0,0,0,#DIV/0!,,,,,,,,,
24,Truyện Gil-Blas (tập 2) ,0,0,,,,,,,0,,0,0,0,0,#DIV/0!,,,,,,,,,
25,Đốc tờ Héraclius Gloss,7,0,,,,,,,4,,3,7,4,3,43,,3,,,,,,,
26,Đoản luận về giáo dục,6,0,,,,,,,4,,2,6,4,2,33,,2,,,,,,,
27,Tiệc vườn,8,0,,,,,,,4,,4,8,4,4,50,,3,,,1,,,,
28,Ở nhà trọ Đức,6,0,,,,,,,5,,1,6,5,1,17,,1,,,,,,,
29,Một dấu hiệu của Tình yêu,5,0,,,,,,,3,,2,5,3,2,40,,2,,,,,,,
30,Soi gương,3,0,,,,,,,3,,0,3,3,0,0,,,,,,,,,
31,Một chuyến đi ,1,0,,,,,,,1,,0,1,1,0,0,,,,,,,,,
32,Những người châu Âu ,4,1,,,1,,,,2,,1,3,2,1,33,,1,,,,,,,
33,Giống như là chết ,8,0,,,,,,1,6,,1,8,7,1,13,,1,,,,,,,
34,Những hiệu quế,13,0,,,,,,,4,,9,13,4,9,69,,8,,,1,,,,
35,Hành trình tình cảm,1,1,,,1,,,,0,,0,0,0,0,#DIV/0!,,,,,,,,,
36,Le Spleen de Paris (Tái bản) ,7,1,,,1,,,1,1,,4,6,2,4,67,,,4,,,,,,
37,Họa sĩ của cuộc sống hiện đại ,16,1,,,1,,,1,6,,8,15,7,8,53,,2,6,,,,,,
38,Con quái vật trong rừng và Bàn thờ người chết ,13,1,,,1,,,,6,,6,12,6,6,50,,6,,,,,,,
39,Giáo dục châu Âu ,6,0,,,,,,,3,,3,6,3,3,50,,3,,,,,,,
40,Đoản luận: Văn chương ,4,0,,,,,,,3,,1,4,3,1,25,,1,,,,,,,
41,Cháu trai Wittgenstein,4,0,,,,,,,3,,1,4,3,1,25,,1,,,,,,,
42,Các khía cạnh của tiểu thuyết,4,0,,,,,,1,1,,2,4,2,2,50,,,2,,,,,,
43,Jacket trắng ,2,0,,,,,,1,1,,0,2,2,0,0,,,,,,,,,
44,Ba truyện đời ,0,0,,,,,,,0,,0,0,0,0,#DIV/0!,,,,,,,,,
45,Vẽ một phụ nữ,3,0,,,,,,,0,,3,3,0,3,100,,3,,,,,,,
46,Bốn tình yêu,22,2,,,,,2,,8,,12,20,8,12,60,,11,1,,,,,,
47,Daisy Miller & Di sản Aspern,3,0,,,,,,,2,,1,3,2,1,33,,1,,,,,,,
48,Dưỡng đường đồng hồ cát,13,0,,,,,,,4,,9,13,4,9,69,,5,4,,,,,,
49,In illo Tempore,17,2,,,1,,1,1,7,,7,15,8,7,47,,2,,2,3,,,,
50,Hotel Savoy,8,1,,,,,1,,2,,5,7,2,5,71,,4,1,,,,,,
51,Ngắn,10,0,,,,,,1,4,,5,10,5,5,50,,4,1,,,,,,
52,Chuyện các bà vợ già,1,0,,,,,,,0,,1,1,0,1,100,,,1,,,,,,
53,Giữa đất và nước,8,0,,,,,,,5,,3,8,5,3,38,,3,,,,,,,
54,Ngợp,7,0,,,,,,1,3,,3,7,4,3,43,,3,,,,,,,
55,Ba lối tới hồ,11,0,,,,,,,5,,6,11,5,6,55,,6,,,,,,,
