,,,,,,REVEW,,,,,,,,,,,,,thiện nguyện/cv,,,,,,,,,,,,,,,REVEW,,,,,,,,,,,,thiện nguyện/cv,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
TỎNG TẶNG,,2025,review,tn/cv,Lc/lỗi,98,40,40,28,4,4,12,21,8,9,3,5,19,153,184,140,12,12,92,49,27,55,24,14,2026,review,tn/cv,Lc/lỗi,19,1,0,2,0,0,0,0,0,0,0,0,55,5,21,58,0,0,0,0,0,0,0,0
1,Bệnh tưởng ,1,0,1,,0,,,,,,,,,,,,,1,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
1,Người biển lận,1,0,1,,0,,,,,,,,,,,,,1,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
1,Trưởng giả học làm sang ,1,0,1,,0,,,,,,,,,,,,,1,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
0,Khách ,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
6,Ondine ,6,1,5,,1,,,,,,,,,,,,,2,,,,,,2,,,1,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
4,Không có vua ,3,0,3,,0,,,,,,,,,,,,,3,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
3,Vĩnh biệt ,3,1,2,,0,1,,,,,,,,,,,,2,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
5,Tục ca lệ,4,0,4,,0,,,,,,,,,,,,,2,,,1,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
34,Tê-lê-mặc phiêu lưu ký ,34,1,33,,0,,1,,,,,,,,,,,2,30,1,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
7,Tâm hồn và hình thức,7,3,4,,0,,2,,,,,1,,,,,,2,,,,,,1,,1,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
21,Mộc thần nữ ,18,2,16,,2,,,,,,,,,,,,,3,,,,,10,1,1,,1,,3,0,3,,,,,,,,,,,,,,,,1,2,,,,,,,,
26,Một câu chuyện từ những đụn cát ,23,2,21,,2,,,,,,,,,,,,,3,,,,,15,1,1,,1,,3,0,3,,,,,,,,,,,,,,,,1,2,,,,,,,,
4,Nàng tình nhân hờ ,3,0,3,,0,,,,,,,,,,,,,2,,,,,,,,,1,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
6,Tiện bút 1,4,0,4,,0,,,,,,,,,,,,,2,,1,,,,1,,,,,2,0,2,,,,,,,,,,,,,,,,2,0,,,,,,,,
11,Middlemarch - Tập 1,9,3,6,,0,,1,,,,,,,,,1,1,2,,,,,,,,1,3,,2,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,,
35,Miếng da lừa ,33,1,32,,0,,,,,,1,,,,,,,2,30,,,,,,,,,,2,0,2,,,,,,,,,,,,,,,,1,1,,,,,,,,
47,Ba người ngự lâm pháo thủ,45,2,43,,2,,,,,,,,,,,,,2,36,,,,,,,,,5,2,0,2,,,,,,,,,,,,,,,1,1,0,,,,,,,,
8,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,7,1,6,,0,,,1,,,,,,,,,,3,,2,,,,,,1,,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
4,Truyện con chó Berganza ,3,0,3,,0,,,,,,,,,,,,,2,,,,,,,,1,,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
8,Lịch sử (ngắn) văn chương Đức,8,3,5,,0,1,2,,,,,,,,,,,2,,1,,,,1,,1,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
7,Le Spleen de Paris ,3,0,3,,0,,,,,,,,,,,,,2,,,,,,1,,,,,4,0,4,,,,,,,,,,,,,,,,1,3,,,,,,,,
10,Middlemarch - Tập 2 ,9,3,6,,0,,1,,,,,,,,,1,1,2,,,,,,,,1,3,,1,1,0,,1,,,,,,,,,,,,,,,0,,,,,,,,
4,Truyện Gil-Blas (tập 1),4,1,3,,0,,,,,,1,,,,,,,2,,,,,,1,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
4,Truyện Gil-Blas (tập 2) ,4,1,3,,0,,,,,,1,,,,,,,2,,,,,,1,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
7,Đốc tờ Héraclius Gloss,7,1,6,,0,,,,,,1,,,,,,,2,,1,,,,3,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
9,Đoản luận về giáo dục,7,0,7,,0,,,,,,,,,,,,,2,,1,,,,,,3,,1,2,0,2,,,,,,,,,,,,,,,,2,0,,,,,,,,
9,Tiệc vườn,8,3,5,,0,,3,,,,,,,,,,,2,,1,1,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
6,Ở nhà trọ Đức,6,1,5,,0,,1,,,,,,,,,,,2,,1,,,,1,,1,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
6,Một dấu hiệu của Tình yêu,6,1,5,,0,,1,,,,,,,,,,,3,,,,,,1,,,,1,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
6,Soi gương,6,1,5,,0,,1,,,,,,,,,,,3,,,,,,1,,,,1,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
5,Một chuyến đi ,5,1,4,,0,,1,,,,,,,,,,,3,,,,,,1,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
8,Những người châu Âu ,7,1,6,,0,,,,,,,,,1,,,,2,,2,,,,,1,1,,,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
8,Giống như là chết ,7,1,6,,0,,,1,,,,,,,,,,2,,2,,,,,1,1,,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
10,Những hiệu quế,10,0,10,,0,,,,,,,,,,,,,2,3,1,,,,3,,1,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
10,Hành trình tình cảm,9,4,5,,2,,,,1,1,,,,,,,,3,,2,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
8,Le Spleen de Paris (Tái bản) ,7,1,6,,1,,,,,,,,,,,,,3,,2,,,,1,,,,,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
8,Họa sĩ của cuộc sống hiện đại ,6,2,4,,1,,,,,,,,1,,,,,3,,,,,,1,,,,,2,0,2,,,,,,,,,,,,,,,,1,1,,,,,,,,
8,Con quái vật trong rừng và Bàn thờ người chết ,7,2,5,,0,,1,,,,,,,1,,,,2,,,1,1,,,1,,,,1,0,1,,,,,,,,,,,,,,,,,1,,,,,,,,
7,Giáo dục châu Âu ,6,1,5,,0,,,1,,,,,,,,,,3,,1,,,,,1,,,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
4,Đoản luận: Văn chương ,4,0,4,,0,,,,,,,,,,,,,2,1,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
7,Cháu trai Wittgenstein,7,1,6,,0,,,,,,,,1,,,,,2,2,,1,1,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
4,Các khía cạnh của tiểu thuyết,3,1,2,,0,,,,,,1,,,,,,,2,,,,,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,,,,,,,,
5,Jacket trắng ,5,2,3,,0,,,,,,1,,,1,,,,2,,1,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
5,Ba truyện đời ,5,2,3,,1,,1,,,,,,,,,,,2,,,,,,1,,,,,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,
