,,,,
FORMA,,,XBK,
466,Bốn tình yêu,,203,Các khía cạnh của tiểu thuyết
428,Dưỡng đường đồng hồ cát,,196,Con quái vật trong rừng và Bàn thờ người chết 
316,In illo Tempore,,188,Những hiệu quế
262,Ngắn,,173,Nàng tình nhân hờ 
253,Daisy Miller & Di sản Aspern,,154,Mộc thần nữ 
251,Hotel Savoy,,150,Vĩnh biệt 
247,Chuyện các bà vợ già,,138,Một câu chuyện từ những đụn cát 
221,Giữa đất và nước,,116,Họa sĩ của cuộc sống hiện đại 
215,Nghĩ,,115,Đoản luận: Văn chương 
212,Sa mạc tình yêu,,107,Giống như là chết 
202,Ba lối tới hồ,,106,Miếng da lừa 
198,Nghề sống,,94,Vẽ một phụ nữ
195,Gentleman cắn thuốc phiện,,92,Le Spleen de Paris (Tái bản) 
192,Tristram Shandy,,88,Giáo dục châu Âu 
189,Ngợp,,86,Middlemarch - Tập 2 
180,"Job, tiểu thuyết về một người thuần hậu",,86,Cháu trai Wittgenstein
179,Những chuyến dạo chơi,,85,Tiệc vườn
172,Lý thuyết tầng lớp nhàn rỗi,,83,Đốc tờ Héraclius Gloss
163,Một người tên là Thứ Năm,,82,Đoản luận về giáo dục
159,May,,82,Ở nhà trọ Đức
154,Người lính tốt,,77,Tâm hồn và hình thức
151,Hành khúc Radetzky,,75,Ondine 
146,Washington Square,,74,Tiện bút 1
144,Những nỗi hoảng hốt của cậu học sinh Torless,,70,Tục ca lệ
141,Bão lớn,,69,Middlemarch - Tập 1
,,,69,Hành trình tình cảm
,,,66,Không có vua 
,,,61,Một dấu hiệu của Tình yêu
,,,59,Jacket trắng 
,,,56,Ba truyện đời 
,,,54,Ba người ngự lâm pháo thủ
,,,54,Lịch sử (ngắn) văn chương Đức
,,,54,Le Spleen de Paris 
,,,52,Những người châu Âu 
,,,51,Soi gương
,,,49,Một chuyến đi 
,,,48,Truyện Gil-Blas (tập 2) 
,,,46,Truyện con chó Berganza 
,,,44,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure
,,,38,Truyện Gil-Blas (tập 1)
,,,36,Tê-lê-mặc phiêu lưu ký 
,,,18,Bệnh tưởng 
,,,14,Người biển lận
,,,13,Trưởng giả học làm sang 
,,,3,Khách 
