STT,TÊN SÁCH,,,Logistics,,,TẶNG,,,,,Tổng Bán,Tổng trực tiếp,Tổng trung gian,% trung gian,,,,,,
,,,TỔNG TẶNG,LỖI,Lưu chiểu/dịch giả,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",LẺ,Kỳ CT - thêm,ĐẠI LÝ,Mua khác,,lẻ-khác-kỳ,Đại lý+mua đứt,,,,,,,
,,"Xuất
4/2026",,,,,,,,,,,0 chiết khấu,Chiết khấu,,,,,,,
,,928,205,193,0,0,12,18,13,692,11,734,42,17,"2,32",,đt,bình,hamvas,Linh VHMT,523
1,Bệnh tưởng ,1,1,,,,1,,,0,0,0,0,0,#DIV/0!,,,,,,
2,Người biển lận,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,
3,Trưởng giả học làm sang ,1,1,,,,1,,,0,0,0,0,0,#DIV/0!,,,,,,
4,Khách ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,
5,Ondine ,3,0,,,,,,,3,0,3,0,0,0,,3,,,,
6,Không có vua ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,
7,Vĩnh biệt ,1,0,,,,,1,,0,0,1,1,0,0,,,,,,
8,Tục ca lệ,2,0,,,,,,,2,0,2,0,0,0,,2,,,,
9,Tê-lê-mặc phiêu lưu ký ,7,0,,,,,,,7,0,7,0,1,14,,6,,,1,
10,Tâm hồn và hình thức,6,0,,,,,,,6,0,6,0,0,0,,6,,,,
11,Mộc thần nữ ,11,0,,,,,,,11,0,11,0,2,18,,9,,,2,
12,Một câu chuyện từ những đụn cát ,6,0,,,,,,,6,1,7,1,1,14,,5,,,1,
13,Nàng tình nhân hờ ,31,0,,,,,1,,30,1,32,2,0,0,,30,,,,
14,Tiện bút 1,1,0,,,,,,,1,1,2,1,0,0,,1,,,,
15,Middlemarch - Tập 1,81,0,,,,,,,81,0,81,0,0,0,,80,,1,,
16,Miếng da lừa ,13,0,,,,,1,,12,3,16,4,0,0,,12,,,,
17,Ba người ngự lâm pháo thủ,3,0,,,,,,,3,0,3,0,0,0,,3,,,,
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,3,0,,,,,,,3,0,3,0,1,33,,2,,,,1
19,Truyện con chó Berganza ,1,0,,,,,,,1,0,1,0,0,0,,1,,,,
20,Lịch sử (ngắn) văn chương Đức,3,0,,,,,1,,2,0,3,1,0,0,,2,,,,
21,Le Spleen de Paris ,1,0,,,,,,,1,0,1,0,1,100,,,,,,1
22,Middlemarch - Tập 2 ,81,0,,,,,,,81,0,81,0,0,0,,80,,1,,
23,Truyện Gil-Blas (tập 1),6,0,,,,,,,6,0,6,0,0,0,,6,,,,
24,Truyện Gil-Blas (tập 2) ,6,0,,,,,,,6,0,6,0,0,0,,6,,,,
25,Đốc tờ Héraclius Gloss,4,0,,,,,,,4,0,4,0,0,0,,4,,,,
26,Đoản luận về giáo dục,4,0,,,,,,,4,0,4,0,0,0,,4,,,,
27,Tiệc vườn,7,0,,,,,,,7,0,7,0,0,0,,7,,,,
28,Ở nhà trọ Đức,5,0,,,,,,,5,0,5,0,0,0,,5,,,,
29,Một dấu hiệu của Tình yêu,3,0,,,,,,,3,1,4,1,0,0,,3,,,,
30,Soi gương,1,0,,,,,,,1,0,1,0,0,0,,1,,,,
31,Một chuyến đi ,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,
32,Những người châu Âu ,4,0,,,,,,,4,1,5,1,1,20,,3,,,,1
33,Giống như là chết ,8,0,,,,,,,8,0,8,0,1,13,,7,,,,1
34,Những hiệu quế,7,0,,,,,,,7,1,8,1,0,0,,5,2,,,
35,Hành trình tình cảm,4,0,,,,,,,4,0,4,0,0,0,,3,,1,,
36,Le Spleen de Paris (Tái bản) ,5,0,,,,,,,5,0,5,0,0,0,,5,,,,
37,Họa sĩ của cuộc sống hiện đại ,5,0,,,,,,,5,1,6,1,0,0,,5,,,,
38,Con quái vật trong rừng và Bàn thờ người chết ,13,0,,,,,1,,12,1,14,2,0,0,,12,,,,
39,Giáo dục châu Âu ,4,0,,,,,,,4,0,4,0,1,25,,3,,,,1
40,Đoản luận: Văn chương ,4,0,,,,,,,4,0,4,0,0,0,,4,,,,
41,Cháu trai Wittgenstein,7,0,,,,,,,7,0,7,0,2,29,,5,,,2,
42,Các khía cạnh của tiểu thuyết,11,0,,,,,,,11,0,11,0,0,0,,9,2,,,
43,Jacket trắng ,3,0,,,,,,,3,0,3,0,0,0,,3,,,,
44,Ba truyện đời ,3,0,,,,,,,3,0,3,0,0,0,,3,,,,
45,Vẽ một phụ nữ,11,0,,,,,,,11,0,11,0,0,0,,11,,,,
46,Bốn tình yêu,25,0,,,,,,,25,0,25,0,0,0,,23,2,,,
47,Daisy Miller & Di sản Aspern,7,0,,,,,,,7,0,7,0,0,0,,7,,,,
48,Dưỡng đường đồng hồ cát,10,0,,,,,,,10,0,10,0,0,0,,10,,,,
49,In illo Tempore,4,0,,,,,,,4,0,4,0,0,0,,4,,,,
50,Hotel Savoy,5,0,,,,,,,5,0,5,0,0,0,,5,,,,
51,Ngắn,8,0,,,,,1,,7,0,8,1,0,0,,7,,,,
52,Chuyện các bà vợ già,6,0,,,,,1,,5,0,6,1,0,0,,5,,,,
53,Giữa đất và nước,1,0,,,,,,,1,0,1,0,0,0,,1,,,,
54,Ngợp,2,0,,,,,,,2,0,2,0,0,0,,2,,,,
55,Ba lối tới hồ,15,0,,,,,1,,14,0,15,1,0,0,,14,,,,
56,Bão lớn,4,0,,,,,,,4,0,4,0,0,0,,4,,,,
57,Người lính tốt,5,0,,,,,1,,4,0,5,1,1,20,,3,,,1,
58,Những chuyến dạo chơi,7,0,,,,,,,7,0,7,0,0,0,,7,,,,
59,May,6,0,,,,,,,6,0,6,0,0,0,,6,,,,
60,Nghĩ,9,0,,,,,,,9,0,9,0,1,11,,8,,,,1
61,Gentleman cắn thuốc phiện,4,0,,,,,1,,3,0,4,1,0,0,,2,1,,,
62,Nghề sống,8,0,,,,,,,8,0,8,0,1,13,,5,2,,1,
63,Hành khúc Radetzky,1,0,,,,,,,1,0,1,0,0,0,,1,,,,
64,Sa mạc tình yêu,3,0,,,,,,,3,0,3,0,0,0,,3,,,,
65,"Job, tiểu thuyết về một người thuần hậu",5,0,,,,,,,5,0,5,0,0,0,,5,,,,
66,Tristram Shandy,8,0,,,,,1,,7,0,8,1,0,0,,6,,1,,
67,Một người tên là Thứ Năm,6,0,,,,,,,6,0,6,0,0,0,,6,,,,
68,Washington Square,7,0,,,,,1,,6,0,7,1,0,0,,6,,,,
69,Lý thuyết tầng lớp nhàn rỗi,21,0,,,,,1,,20,0,21,1,2,10,,13,5,,2,
70,Những nỗi hoảng hốt của cậu học sinh Torless,4,0,,,,,,,4,0,4,0,0,0,,4,,,,
71,Ông cha đạo ở Wakefield,7,0,,,,,,,7,0,7,0,0,0,,6,,1,,
72,Người phụ tá,10,0,,,,,,,10,0,10,0,0,0,,7,2,1,,
73,Tay điệp viên,8,0,,,,,,1,7,0,8,1,0,0,,6,,1,,
74,Tên mọi trên tàu Narcissus,8,0,,,,,,,8,0,8,0,0,0,,7,,1,,
75,Khác thời đại,3,0,,,,,,1,2,0,3,1,0,0,,1,,1,,
76,Anh em Tanner,14,0,,,,,,1,13,0,14,1,1,7,,9,2,1,1,
77,Nhà xứ cũ,7,0,,,,,,1,6,0,7,1,0,0,,6,,,,
78,Jakob von Gunten,46,5,,,,5,2,4,35,0,41,6,0,0,,23,9,3,,
