STT,TÊN SÁCH,,,Logistics,,,TẶNG,,,,Tổng Bán,Tổng trực tiếp,Tổng trung gian,% trung gian,,,,,,
,,,TỔNG TẶNG,LỖI,Lưu chiểu/dịch giả,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",LẺ,Kỳ CT - thêm,ĐẠI LÝ,,lẻ-khác-kỳ,Đại lý+mua đứt,,,,,,,
,,"Xuất
4/2026",,,,,,,,,,0 chiết khấu,Chiết khấu,,,,,,,
,,478,24,0,0,4,20,31,5,418,454,36,418,"92,07",,đt,bình,hamvas,Linh VHMT,523
1,Bệnh tưởng ,0,0,,,,,,,0,0,0,0,#DIV/0!,,,,,,
2,Người biển lận,0,0,,,,,,,0,0,0,0,#DIV/0!,,,,,,
3,Trưởng giả học làm sang ,0,0,,,,,,,0,0,0,0,#DIV/0!,,,,,,
4,Khách ,0,0,,,,,,,0,0,0,0,#DIV/0!,,,,,,
5,Ondine ,2,0,,,,,1,,1,2,1,1,50,,1,,,,
6,Không có vua ,2,0,,,,,2,,0,2,2,0,0,,,,,,
7,Vĩnh biệt ,0,0,,,,,,,0,0,0,0,#DIV/0!,,,,,,
8,Tục ca lệ,2,0,,,,,,,2,2,0,2,100,,2,,,,
9,Tê-lê-mặc phiêu lưu ký ,5,0,,,,,1,,4,5,1,4,80,,4,,,,
10,Tâm hồn và hình thức,3,0,,,,,,,3,3,0,3,100,,3,,,,
11,Mộc thần nữ ,3,0,,,,,1,,2,3,1,2,67,,2,,,,
12,Một câu chuyện từ những đụn cát ,5,0,,,,,1,,4,5,1,4,80,,4,,,,
13,Nàng tình nhân hờ ,16,0,,,,,,,16,16,0,16,100,,15,,,,1
14,Tiện bút 1,4,0,,,,,2,,2,4,2,2,50,,1,,,,1
15,Middlemarch - Tập 1,17,0,,,,,,,17,17,0,17,100,,17,,,,
16,Miếng da lừa ,3,0,,,,,,,3,3,0,3,100,,3,,,,
17,Ba người ngự lâm pháo thủ,1,0,,,,,,,1,1,0,1,100,,1,,,,
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,2,0,,,,,,,2,2,0,2,100,,2,,,,
19,Truyện con chó Berganza ,0,0,,,,,,,0,0,0,0,#DIV/0!,,,,,,
20,Lịch sử (ngắn) văn chương Đức,3,0,,,,,,,3,3,0,3,100,,3,,,,
21,Le Spleen de Paris ,0,0,,,,,,,0,0,0,0,#DIV/0!,,,,,,
22,Middlemarch - Tập 2 ,17,0,,,,,,,17,17,0,17,100,,17,,,,
