"- Số liệu chưa phải là chính xác tuyệt đối, có sai số tuỳ lượng đầu vào và dọn kho lỗi",,,,,,,,,,,,,,,,,,27/12/2025,27/12/2025,,27/12/2025,,,30/12/2025,,9/2/2026
,Giá bìa,SL in,SL in/ sau chia,"Tổng kho 
(ước tính)
BAN ĐẦU","Quỳnh Mai
11/9",SL thùng,SL/ thùng,Phan Nhu tặng thư viện,7/2024,Lỗi,Mối mọt,"SL sách rời
(không trong thùng)",Kiểm T10/2024,"xuất 
2024","Kiểm 
2024","XUẤT 
(1-4)/2025","KIỂM 
1-4/2025","XUẤT
5-11/2025","KIỂM
5-11/2025",Kiểm lỗi thág 10,Còn tới tháng 12,Bán T12,"XUẤT 
2025","Tổng kho 
2025",BÁN T1/2026,
,,,75000,26807,,309,,104,,597,129,525,22871,17009,13406,2050,17520,2106,15417,993,14424,227,1877,14197,,
Bệnh tưởng ,36000,1000,500,0,,,,,0,17,,,0,130,-130,1,0,1,0,,0,0,1,0,,
Người biển lận,36000,1000,500,0,,,,,0,5,,,0,126,-126,1,0,1,0,,0,0,4,0,,
Trưởng giả học làm sang ,36000,1000,500,0,,,,,0,7,,,0,129,-129,1,0,1,0,,0,0,3,0,,
Khách ,99000,399,200,0,,,,,0,6,,,0,77,-77,0,0,0,0,,0,0,0,0,,
Ondine ,63000,1500,750,570,,3,190,,658,21,,88,348,130,440,17,220,41,179,,179,3,29,176,,
Không có vua ,42000,1500,750,160,,1,160,,233,5,110,73,221,261,-101,9,70,23,47,,47,0,26,47,,
Vĩnh biệt ,45000,1500,750,190,,1,190,,211,37,,21,139,289,-99,45,80,67,13,,13,3,43,10,,
Tục ca lệ,45000,1000,500,326,,2,163,,326,20,,,293,176,150,5,200,16,184,,184,3,17,181,,
Tê-lê-mặc phiêu lưu ký ,153000,1500,750,160,,4,40,,177,,,17,161,142,18,4,90,16,74,,74,2,43,72,,
Tâm hồn và hình thức,135000,2000,1000,884,,13,68,,884,5,,,804,208,676,15,270,46,224,,224,4,42,220,,
Mộc thần nữ ,45000,3000,1500,300,,2,130,,300,44,,,253,273,27,70,230,119,111,,111,4,51,107,,
Một câu chuyện từ những đụn cát ,54000,3000,1500,520,,4,130,,520,25,,,427,246,274,54,246,103,143,,143,5,62,138,,
Nàng tình nhân hờ ,45000,1500,750,600,,4,150,,631,11,,31,567,271,329,63,384,113,271,,271,9,53,262,,
Tiện bút 1,81000,1500,750,750,,5,150,,750,26,19,,442,205,545,19,264,35,229,,229,4,38,225,,
Middlemarch - Tập 1,199000,1500,750,750,,,,,750,14,,,667,192,558,10,548,47,501,252,249,15,40,234,,
Miếng da lừa ,153000,1500,750,602,,14,43,,605,20,,3,536,215,387,17,450,60,390,,390,7,65,383,,
Ba người ngự lâm pháo thủ,189000,2000,1000,891,,33,27,,903,4,,12,891,186,705,7,698,20,678,359,319,8,63,311,,
Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,72000,1500,750,552,,6,92,,552,5,,,523,154,398,8,500,28,472,,472,4,35,468,,
Truyện con chó Berganza ,90000,1500,750,630,,7,90,,639,2,,9,686,158,472,2,504,23,481,,481,3,26,478,,
Lịch sử (ngắn) văn chương Đức,126000,1500,750,800,,10,80,,800,8,,,755,204,596,11,30,18,12,,12,2,39,10,,
Le Spleen de Paris ,99000,1500,750,211,,,,71,211,9,,,0,141,70,7,144,15,129,,129,1,20,128,,
Middlemarch - Tập 2 ,198000,1500,750,750,,,,,750,13,,,399,202,548,10,538,47,491,312,179,15,45,164,,
Truyện Gil-Blas (tập 1),144000,1200,600,384,,8,48,,384,1,,,328,153,231,6,60,16,44,,44,2,17,42,,
Truyện Gil-Blas (tập 2) ,144000,1000,500,96,,2,48,,96,73,,,165,150,-54,6,60,16,44,,44,2,17,42,,
