TỔNG HỢP TỒN KHO,,,,,,,,,,,,
Kho: Kho thành phẩm; Từ ngày 01/01/2026 đến ngày 27/5/2026,,,,,,,,,,,,
,Tên kho,Mã hàng,Tên hàng,ĐVT,Đầu kỳ,Nhập kho,Xuất kho,Cuối kỳ,,,,
STT,,,,,Số lượng,Số lượng,Số lượng,Số lượng,,,,
Tên kho : Kho thành phẩm (42 ),,,,,"3,793.00",0,"1,028.00","2,765.00",,,,
,Kho thành phẩm,TP0004,Daisy Miller & Di sản Aspern,Quyển,141,0,12,129,,,,
,Kho thành phẩm,TP0005,Dưỡng đường đồng hồ cát,Quyển,79,0,36,43,,,,
,Kho thành phẩm,TP0006,Bốn tình yêu,Quyển,116,0,37,79,,,,
1,Kho thành phẩm,TP0007,In illo tempore,Quyển,9,0,13,-4,,,,
,Kho thành phẩm,TP0010,Chuyện các bà vợ già,Quyển,99,0,7,92,,,,
,Kho thành phẩm,TP0011,Ngắn,Quyển,112,0,22,90,,,,
,Kho thành phẩm,TP0012,Hotel Savoy,Quyển,87,0,18,69,,,,
,Kho thành phẩm,TP0013,Ba lối tới hồ,Quyển,108,0,36,72,,,,
,Kho thành phẩm,TP0014,Ngợp,Quyển,112,0,23,89,,,,
,Kho thành phẩm,TP0015,Người lính tốt,Quyển,110,0,33,77,,,,
,Kho thành phẩm,TP0016,Những chuyến dạo chơi,Quyển,79,0,48,31,,,,
,Kho thành phẩm,TP0018,Gentlemen căn thuốc phiện,Quyển,90,0,23,67,,,,
,Kho thành phẩm,TP0019,Giữa đất và nước,Quyển,124,0,23,101,,,,
,Kho thành phẩm,TP0020,Bão lớn,Quyển,137,0,32,105,,,,
,Kho thành phẩm,TP0021,May,Quyển,130,0,34,96,,,,
,Kho thành phẩm,TP0023,Nghĩ,Quyển,104,0,37,67,,,,
,Kho thành phẩm,TP0024,Hành khúc Radetzky,Quyển,130,0,20,110,,,,
,Kho thành phẩm,TP0025,Nghề sống,Quyển,211,0,35,176,,,,
,Kho thành phẩm,TP0027,Sa mạc tình yêu,Quyển,431,0,22,409,,,,
,Kho thành phẩm,TP0030,Tristram Shandy,Quyển,618,0,24,594,,,,
,Kho thành phẩm,TP0048,JOB. TIỂU THUYẾT VỀ MỘT NGƯỜI THUẦN,Quyển,636,0,0,636,,,,
,Kho thành phẩm,TP0073,Những nỗi hoảng hốt của cậu học sinh Törleß,Quyển,48,0,0,48,,,,
2,Kho thành phẩm,TP0074,Lý thuyết tầng lớp nhàn rỗi,Quyển,0,0,84,-84,,,,
,Kho thành phẩm,TP0075,Washington Square,Quyển,43,0,20,23,,,,
,Kho thành phẩm,TP0076,Một người tên là Thứ Năm,Quyển,39,0,28,11,,,,
3,Kho thành phẩm,TP0079,Người phụ tá,Quyển,0,0,55,-55,,,,
4,Kho thành phẩm,TP0081,Ông cha đạo ở Wakefield,Quyển,0,0,32,-32,,,,
5,Kho thành phẩm,TP0082,Tên mọi trên tàu Narcissus,Quyển,0,0,52,-52,,,,
6,Kho thành phẩm,TP0089,Ngắn - Herman Melville,Quyển,0,0,6,-6,,,,
7,Kho thành phẩm,TP0090,"Job, tiểu thuyết về một người thuần hậu",Quyển,0,0,12,-12,,,,
8,Kho thành phẩm,TP0091,Daisy Miller và di sản Aspern,Quyển,0,0,12,-12,,,,
9,Kho thành phẩm,TP0092,Getlement cắn thuốc phiện,Quyển,0,0,19,-19,,,,
10,Kho thành phẩm,TP0093,Job - Tiểu thuyết về một người thuần hậu,Quyển,0,0,5,-5,,,,
11,Kho thành phẩm,TP0094,Những nỗi hoảng hốt của cậu học sinh Torless,Quyển,0,0,31,-31,,,,
12,Kho thành phẩm,TP0095,Đoản luận văn chương,Quyển,0,0,1,-1,,,,
13,Kho thành phẩm,TP0096,Jack - et trắng,Quyển,0,0,12,-12,,,,
14,Kho thành phẩm,TP0097,Cháu trai của Wittgenstein,Quyển,0,0,1,-1,,,,
15,Kho thành phẩm,TP0098,Chuyện của các bà vợ già,Quyển,0,0,4,-4,,,,
16,Kho thành phẩm,TP0099,Tay điệp viên,Quyển,0,0,50,-50,,,,
17,Kho thành phẩm,TP0100,Nhà xứ cũ,Quyển,0,0,20,-20,,,,
18,Kho thành phẩm,TP0101,Khác thời đại,Quyển,0,0,18,-18,,,,
19,Kho thành phẩm,TP0102,Anh em Tanner,Quyển,0,0,31,-31,,,,
,Số dòng = 42,,,,"3,793.00",0,"1,028.00","2,765.00",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TỔNG HỢP TỒN KHO,,,,,,,,,,,,
Từ ngày 01/01/2026 đến ngày 20/5/2026,,,,,,,,,,,,
,Tên kho,Mã hàng,Tên hàng,ĐVT,Đầu kỳ,,Nhập kho,,Xuất kho,,Cuối kỳ,
,,,,,Số lượng,Giá trị,Số lượng,Giá trị,Số lượng,Giá trị,Số lượng,Giá trị
Tên kho : Kho hàng hóa (41 ),,,,,"6,566.00","452,836,500",0,0,196,"9,295,000","6,370.00","443,541,500"
,Kho hàng hóa,HH001,Bệnh tưởng,Quyển,56,"1,008,000",0,0,0,0,56,"1,008,000"
,Kho hàng hóa,HH002,Người biển lận,Quyển,44,"792,000",0,0,0,0,44,"792,000"
,Kho hàng hóa,HH003,Trưởng giả học làm sang,Quyển,44,"792,000",0,0,0,0,44,"792,000"
,Kho hàng hóa,HH004,Ondine,Quyển,7,"220,500",0,0,0,0,7,"220,500"
,Kho hàng hóa,HH005,Khách,Quyển,17,"841,500",0,0,0,0,17,"841,500"
,Kho hàng hóa,HH006,Không có vua,Quyển,30,"630,000",0,0,0,0,30,"630,000"
,Kho hàng hóa,HH008,Tục ca lệ,Quyển,9,"202,500",0,0,0,0,9,"202,500"
,Kho hàng hóa,HH009,Tê-lê-mặc phiêu lưu ký,Quyển,42,"3,213,000",0,0,1,"76,500",41,"3,136,500"
,Kho hàng hóa,HH010,Tâm hồn và hình thức,Quyển,21,"1,417,500",0,0,2,"135,000",19,"1,282,500"
,Kho hàng hóa,HH012,Một câu chuyện từ những đụn cát,Quyển,2,"54,000",0,0,0,0,2,"54,000"
,Kho hàng hóa,HH014,Tiện bút 1,Quyển,39,"1,579,500",0,0,1,"40,500",38,"1,539,000"
,Kho hàng hóa,HH015,Middlemarch - Tập 1,Quyển,16,"1,592,000",0,0,3,"298,500",13,"1,293,500"
,Kho hàng hóa,HH017,Giống như là chết,Quyển,365,"31,207,500",0,0,14,"855,000",351,"30,352,500"
,Kho hàng hóa,HH018,Middlemarch - Tập 2,Quyển,16,"1,584,000",0,0,4,"297,000",12,"1,287,000"
,Kho hàng hóa,HH019,Truyện Gill - Blas - Tập 1,Quyển,49,"3,528,000",0,0,2,"144,000",47,"3,384,000"
,Kho hàng hóa,HH020,Truyện Gill - Blas - Tập 2,Quyển,48,"3,456,000",0,0,2,"144,000",46,"3,312,000"
,Kho hàng hóa,HH021,Đốc tờ Heraclius,Quyển,11,"396,000",0,0,0,0,11,"396,000"
,Kho hàng hóa,HH022,Ở nhà trọ Đức,Quyển,11,"396,000",0,0,2,"72,000",9,"324,000"
,Kho hàng hóa,HH025,Đoản luận về giáo dục,Quyển,5,"360,000",0,0,2,"144,000",3,"216,000"
,Kho hàng hóa,HH026,Tiệc vườn,Quyển,17,"1,224,000",0,0,2,0,15,"1,224,000"
,Kho hàng hóa,HH027,Soi gương,Quyển,141,"8,460,000",0,0,0,0,141,"8,460,000"
,Kho hàng hóa,HH028,Ba người ngự lâm pháo thủ,Quyển,36,"3,402,000",0,0,3,"189,000",33,"3,213,000"
,Kho hàng hóa,HH029,Tú tài thủy tinh,Quyển,47,"1,692,000",0,0,0,0,47,"1,692,000"
,Kho hàng hóa,HH030,Truyện con chó Berganza,Quyển,45,"2,025,000",0,0,2,"90,000",43,"1,935,000"
,Kho hàng hóa,HH031,Lịch sử ngắn văn chương Đức,Quyển,40,"2,520,000",0,0,0,0,40,"2,520,000"
,Kho hàng hóa,HH032,Le Spleen de Paris,Quyển,44,"2,178,000",0,0,2,"99,000",42,"2,079,000"
,Kho hàng hóa,HH033,Một chuyến đi,Quyển,128,"5,760,000",0,0,0,0,128,"5,760,000"
,Kho hàng hóa,HH034,Cháu trai Wittgenstein,Quyển,42,"1,323,000",0,0,0,0,42,"1,323,000"
,Kho hàng hóa,HH035,Đoản luận: Văn chương,Quyển,44,"3,168,000",0,0,3,"216,000",41,"2,952,000"
,Kho hàng hóa,HH036,Ba truyện đời,Quyển,295,"17,257,500",0,0,8,"351,000",287,"16,906,500"
,Kho hàng hóa,HH037,Một dấu hiệu của Tình yêu,Quyển,647,"58,230,000",0,0,12,"630,000",635,"57,600,000"
,Kho hàng hóa,HH038,Hành trình tình cảm,Quyển,643,"46,296,000",0,0,15,"648,000",628,"45,648,000"
,Kho hàng hóa,HH039,Những hiệu quế,Quyển,284,"10,224,000",0,0,9,"180,000",275,"10,044,000"
,Kho hàng hóa,HH040,Các khía cạnh của tiểu thuyết,Quyển,355,"14,377,500",0,0,16,"445,500",339,"13,932,000"
,Kho hàng hóa,HH041,Những người châu Âu,Quyển,425,"30,600,000",0,0,13,"720,000",412,"29,880,000"
,Kho hàng hóa,HH042,Le Spleen de Paris (Tái bản),Quyển,280,"13,860,000",0,0,14,"148,500",266,"13,711,500"
,Kho hàng hóa,HH043,Vẽ một phụ nữ,Quyển,449,"52,533,000",0,0,16,"1,053,000",433,"51,480,000"
,Kho hàng hóa,HH044,Jacket trắng,Quyển,506,"50,094,000",0,0,6,"396,000",500,"49,698,000"
,Kho hàng hóa,HH045,Con quái vật trong rừng và Bàn thờ người chết,Quyển,315,"9,922,500",0,0,7,"220,500",308,"9,702,000"
,Kho hàng hóa,HH046,Họa sĩ của cuộc sống hiện đại,Quyển,365,"11,680,000",0,0,19,"352,000",346,"11,328,000"
,Kho hàng hóa,HH047,Giáo dục châu Âu,Quyển,586,"52,740,000",0,0,16,"1,350,000",570,"51,390,000"
Tên kho : Kho thành phẩm (43 ),,,,,"3,793.00","131,355,249",0,0,955,"7,307,035","2,838.00","124,048,214"
