,Mã hàng,Tên hàng,ĐVT,Cuối kì,Đầu kì,Xuất kho,Nhập,Xuất từ 14/03 đến hiện tại,Ghi chú
Tên kho : Kho hàng hóa (45 ),,,,,"7,541.00",,,,
,HH001,Bệnh tưởng,Quyển,56,56,,,,
,HH002,Người biển lận,Quyển,46,46,,,,
,HH003,Trưởng giả học làm sang,Quyển,44,44,,,,
,HH004,Ondine,Quyển,7,28,2,,19,
,HH005,Khách,Quyển,17,17,,,,
,HH006,Không có vua,Quyển,44,48,2,,2,
,HH007,Vĩnh biệt,Quyển,-15,2,16,,1,
,HH008,Tục ca lệ,Quyển,33,45,2,,10,
,HH009,Tê-lê-mặc phiêu lưu ký,Quyển,46,52,,,6,
,HH010,Tâm hồn và hình thức,Quyển,29,51,6,,16,
,HH011,Mộc thần nữ,Quyển,-8,16,22,,2,
,HH012,Một câu chuyện từ những đụn cát,Quyển,6,25,15,,4,
,HH013,Nàng tình nhân hờ,Quyển,-13,7,18,,2,
,HH014,Tiện bút 1,Quyển,40,44,2,,2,
,HH015,Middlemarch - Tập 1,Quyển,19,29,4,,6,
,HH016,Miếng da lừa,Quyển,-6,20,4,,22,
,HH017,Giống như là chết,Quyển,381,413,8,,24,
,HH018,Middlemarch - Tập 2,Quyển,19,29,4,,6,
,HH019,Truyện Gill - Blas - Tập 1,Quyển,50,54,1,,3,
,HH020,Truyện Gill - Blas - Tập 2,Quyển,49,54,1,,4,
,HH021,Đốc tờ Heraclius,Quyển,15,32,4,,13,
,HH022,Ở nhà trọ Đức,Quyển,12,29,6,,11,
,HH025,Đoản luận về giáo dục,Quyển,6,38,8,,24,
,HH026,Tiệc vườn,Quyển,18,38,7,,13,
,HH027,Soi gương,Quyển,143,148,,,5,
,HH028,Ba người ngự lâm pháo thủ,Quyển,39,50,,,11,
,HH029,Tú tài thủy tinh,Quyển,50,54,,,4,
,HH030,Truyện con chó Berganza,Quyển,47,51,,,4,
,HH031,Lịch sử ngắn văn chương Đức,Quyển,42,50,,,8,
,HH032,Le Spleen de Paris,Quyển,41,50,3,,6,
,HH033,Một chuyến đi,Quyển,129,137,3,,5,
,HH034,Cháu trai Wittgenstein,Quyển,54,69,6,,9,
,HH035,Đoản luận: Văn chương,Quyển,45,68,11,,12,
,HH036,Ba truyện đời,Quyển,298,311,9,,4,
,HH037,Một dấu hiệu của Tình yêu,Quyển,655,670,,,15,
,HH038,Hành trình tình cảm,Quyển,651,661,3,,7,
,HH039,Những hiệu quế,Quyển,294,356,13,,49,
,HH040,Các khía cạnh của tiểu thuyết,Quyển,382,460,16,,62,
,HH041,Những người châu Âu,Quyển,436,445,5,,4,
,HH042,Le Spleen de Paris (Tái bản),Quyển,290,311,4,,17,
,HH043,Vẽ một phụ nữ,Quyển,471,495,5,,19,
,HH044,Jacket trắng,Quyển,509,516,1,,6,
,HH045,Con quái vật trong rừng và Bàn thờ người chết,Quyển,330,393,11,,52,
,HH046,Họa sĩ của cuộc sống hiện đại,Quyển,379,419,15,,25,
,HH047,Giáo dục châu Âu,Quyển,594,610,5,,11,
Tên kho : Kho thành phẩm (18 ),,,,"2,687","2,687.00",,,,
,TP0004,Daisy Miller & Di sản Aspern,Quyển,150,163,7,,6,
,TP0005,Dưỡng đường đồng hồ cát,Quyển,-6,59,19,,46,
,TP0006,Bốn tình yêu,Quyển,41,26,24,100,61,
,TP0007,In illo tempore,Quyển,13,61,17,,31,
,TP0010,Chuyện các bà vợ già,Quyển,111,139,8,,20,
,TP0011,Ngắn,Quyển,127,155,6,,22,
,TP0012,Hotel Savoy,Quyển,106,146,9,,31,
,TP0013,Ba lối tới hồ,Quyển,125,166,16,,25,
,TP0014,Ngợp,Quyển,131,167,8,,28,
,TP0015,Người lính tốt,Quyển,130,171,13,,28,
,TP0016,Những chuyến dạo chơi,Quyển,103,174,24,,47,
,TP0018,Gentlemen căn thuốc phiện,Quyển,110,174,21,,43,
,TP0019,Giữa đất và nước,Quyển,140,176,16,,20,
,TP0020,Bão lớn,Quyển,153,185,18,,14,
,TP0021,May,Quyển,147,185,18,,20,
,TP0023,Nghĩ,Quyển,128,183,17,,38,
,TP0024,Hành khúc Radetzky,Quyển,144,182,20,,18,
,TP0025,Nghề sống,Quyển,225,175,17,100,33,
,,Quản lý phí cuốn: Job. Tiểu thuyết về một người thuần hậu,,665,,,700,35,
,,Quản lý phí cuốn: Tristram Shandy,,654,,,700,46,
,,Quản lý phí cuốn: Sa mạc tình yêu,,457,,,500,43,
,,Lý thuyết tầng nhàn dỗi,,-45,,,,45,chưa thấy có quyển này
,,Một người tên thứ 5,,-25,,,,25,chưa thấy có quyển này
,,Những Nỗi Hoảng Hốt Của Cậu Học Sinh Torless,,-16,,,,16,chưa thấy có quyển này
,,Washington Square,,-18,,,,18,chưa thấy có quyển này
