TỔNG HỢP TỒN KHO,,,,,,,,,
Kho: Kho thành phẩm; Từ ngày 01/01/2026 đến ngày 27/5/2026,,,,,,,,,
,Tên kho,Mã hàng,Tên hàng,ĐVT,Đầu kỳ,Nhập kho,Xuất kho,Cuối kỳ,
STT,,,,,Số lượng,Số lượng,Số lượng,Số lượng,
Tên kho : Kho thành phẩm (42 ),,,,,"3,793.00",0,"1,028.00","2,765.00",
8,Kho thành phẩm,TP0091,Daisy Miller và di sản Aspern,Quyển,0,0,12,-12,
,Kho thành phẩm,TP0004,Daisy Miller & Di sản Aspern,Quyển,141,0,12,129,
,Kho thành phẩm,TP0073,Những nỗi hoảng hốt của cậu học sinh Törleß,Quyển,48,0,0,48,
11,Kho thành phẩm,TP0094,Những nỗi hoảng hốt của cậu học sinh Torless,Quyển,0,0,31,-31,
,Kho thành phẩm,TP0018,Gentlemen căn thuốc phiện,Quyển,90,0,23,67,
9,Kho thành phẩm,TP0092,Getlement cắn thuốc phiện,Quyển,0,0,19,-19,
6,Kho thành phẩm,TP0089,Ngắn - Herman Melville,Quyển,0,0,6,-6,
,Kho thành phẩm,TP0011,Ngắn,Quyển,112,0,22,90,
7,Kho thành phẩm,TP0090,"Job, tiểu thuyết về một người thuần hậu",Quyển,0,0,12,-12,
10,Kho thành phẩm,TP0093,Job - Tiểu thuyết về một người thuần hậu,Quyển,0,0,5,-5,
,Kho thành phẩm,TP0048,JOB. TIỂU THUYẾT VỀ MỘT NGƯỜI THUẦN,Quyển,636,0,0,636,
15,Kho thành phẩm,TP0098,Chuyện của các bà vợ già,Quyển,0,0,4,-4,
,Kho thành phẩm,TP0010,Chuyện các bà vợ già,Quyển,99,0,7,92,
2,Kho thành phẩm,TP0074,Lý thuyết tầng lớp nhàn rỗi,Quyển,0,0,84,-84,
3,Kho thành phẩm,TP0079,Người phụ tá,Quyển,0,0,55,-55,
5,Kho thành phẩm,TP0082,Tên mọi trên tàu Narcissus,Quyển,0,0,52,-52,
16,Kho thành phẩm,TP0099,Tay điệp viên,Quyển,0,0,50,-50,
4,Kho thành phẩm,TP0081,Ông cha đạo ở Wakefield,Quyển,0,0,32,-32,
19,Kho thành phẩm,TP0102,Anh em Tanner,Quyển,0,0,31,-31,
17,Kho thành phẩm,TP0100,Nhà xứ cũ,Quyển,0,0,20,-20,
18,Kho thành phẩm,TP0101,Khác thời đại,Quyển,0,0,18,-18,
1,Kho thành phẩm,TP0007,In illo tempore,Quyển,9,0,13,-4,
,Kho thành phẩm,TP0076,Một người tên là Thứ Năm,Quyển,39,0,28,11,
,Kho thành phẩm,TP0075,Washington Square,Quyển,43,0,20,23,
,Kho thành phẩm,TP0016,Những chuyến dạo chơi,Quyển,79,0,48,31,
,Kho thành phẩm,TP0005,Dưỡng đường đồng hồ cát,Quyển,79,0,36,43,
,Kho thành phẩm,TP0023,Nghĩ,Quyển,104,0,37,67,
,Kho thành phẩm,TP0012,Hotel Savoy,Quyển,87,0,18,69,
,Kho thành phẩm,TP0013,Ba lối tới hồ,Quyển,108,0,36,72,
,Kho thành phẩm,TP0015,Người lính tốt,Quyển,110,0,33,77,
,Kho thành phẩm,TP0006,Bốn tình yêu,Quyển,116,0,37,79,
,Kho thành phẩm,TP0014,Ngợp,Quyển,112,0,23,89,
,Kho thành phẩm,TP0021,May,Quyển,130,0,34,96,
13,Kho thành phẩm,TP0096,Jack - et trắng,Quyển,0,0,12,-12,
12,Kho thành phẩm,TP0095,Đoản luận văn chương,Quyển,0,0,1,-1,Kho HH
14,Kho thành phẩm,TP0097,Cháu trai của Wittgenstein,Quyển,0,0,1,-1,Kho HH
,Kho thành phẩm,TP0019,Giữa đất và nước,Quyển,124,0,23,101,
,Kho thành phẩm,TP0020,Bão lớn,Quyển,137,0,32,105,
,Kho thành phẩm,TP0024,Hành khúc Radetzky,Quyển,130,0,20,110,
,Kho thành phẩm,TP0025,Nghề sống,Quyển,211,0,35,176,
,Kho thành phẩm,TP0027,Sa mạc tình yêu,Quyển,431,0,22,409,
,Kho thành phẩm,TP0030,Tristram Shandy,Quyển,618,0,24,594,
,Số dòng = 42,,,,"3,793.00",0,"1,028.00","2,765.00",
