,TÊN SÁCH,SL IN,SL ĐÃ GIAO,XUẤT,XUẤT,XUẤT,BÁN,"SAU 
BÁN TẶNG",LỖI/ BỎ,TỒN KHO LÝ THUYẾT,TỒN THỰC TẾ,"VAT
CÒN LẠI"
,,,,2024,2025,2026,,,,,,
,,75000,38520,17009,5815,0,,,,40500,42918,
1,Bệnh tưởng ,500,,130,1,,18,,,0,0,56
2,Người biển lận,500,,126,4,,14,,,0,0,46
3,Trưởng giả học làm sang ,500,,129,3,,13,,,0,0,44
5,Khách ,200,,77,0,,3,,,0,0,17
4,Ondine ,750,,130,29,,88,,,176,176,7
6,Không có vua ,750,,261,26,,68,,,47,47,44
7,Vĩnh biệt ,750,,289,43,,155,,,10,10,-15
8,Tục ca lệ,500,,176,17,,78,,,181,181,33
9,Tê-lê-mặc phiêu lưu ký ,750,,142,43,,41,,,72,72,46
10,Tâm hồn và hình thức,1000,,208,42,,93,,,220,220,29
11,Mộc thần nữ ,1500,,273,51,,175,,,107,107,-8
12,Một câu chuyện từ những đụn cát ,1500,,246,62,,155,,,138,138,6
13,Nàng tình nhân hờ ,750,,271,53,,203,,,262,262,-13
14,Tiện bút 1,750,,205,38,,93,,,225,225,40
15,Middlemarch - Tập 1,750,,192,40,,103,,,234,234,19
16,Miếng da lừa ,750,,215,65,,126,,,383,383,-6
17,Ba người ngự lâm pháo thủ,1000,,186,63,,61,,,311,311,39
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,750,,154,35,,60,,,468,468,50
19,Truyện con chó Berganza ,750,,158,26,,57,,,478,478,47
20,Lịch sử (ngắn) văn chương Đức,750,,204,39,,63,,,10,10,42
21,Le Spleen de Paris ,750,,141,20,,61,,,128,128,41
22,Middlemarch - Tập 2 ,750,,202,45,,120,,,164,164,19
23,Truyện Gil-Blas (tập 1),600,,153,17,,43,,,42,42,50
24,Truyện Gil-Blas (tập 2) ,500,,150,17,,53,,,42,42,49
25,Đốc tờ Héraclius Gloss,750,,335,47,,99,,,272,272,15
26,Đoản luận về giáo dục,750,,349,32,,94,,,354,354,6
27,Tiệc vườn,750,,329,43,,98,,,212,212,18
28,Ở nhà trọ Đức,750,,344,43,,97,,,349,349,12
29,Một dấu hiệu của Tình yêu,1500,,299,30,,66,,,848,848,655
30,Soi gương,500,,295,21,,55,,,54,54,143
31,Một chuyến đi ,500,,285,26,,52,,,28,28,129
32,Những người châu Âu ,750,,329,32,,65,,,274,274,436
33,Giống như là chết ,750,,364,37,,133,,,389,389,381
34,Những hiệu quế,750,,443,70,,223,,,207,207,294
35,Hành trình tình cảm,1000,,388,27,,79,,,594,594,651
36,Le Spleen de Paris (Tái bản) ,500,,189,45,,108,,,314,314,290
37,Họa sĩ của cuộc sống hiện đại ,750,,232,71,,152,,,407,407,419
38,Con quái vật trong rừng và Bàn thờ người chết ,750,,438,80,,239,,,299,299,393
39,Giáo dục châu Âu ,1000,,351,32,,99,,,754,754,594
40,Đoản luận: Văn chương ,500,,383,30,,123,,,73,73,45
41,Cháu trai Wittgenstein,750,,242,42,,104,,,543,543,54
42,Các khía cạnh của tiểu thuyết,500,,435,92,,257,,,87,87,382
43,Jacket trắng ,500,,322,27,,70,,,312,312,509
44,Ba truyện đời ,500,,324,34,,66,,,280,280,298
45,Vẽ một phụ nữ,750,,395,41,,119,,,524,524,471
46,Bốn tình yêu,2000,2010,688,79,,505,1481,,1124,1233,
47,Daisy Miller & Di sản Aspern,2000,1845,506,35,,275,1718,,1255,1459,
48,Dưỡng đường đồng hồ cát,2000,1803,673,82,,461,1524,,946,1245,
49,In illo Tempore,700,700,497,94,,338,345,,105,109,
50,Hotel Savoy,2000,1933,245,56,,281,1709,,1570,1699,
51,Ngắn,1500,1393,273,83,,304,1188,,992,1144,
52,Chuyện các bà vợ già,2000,2052,283,52,,269,1713,,1656,1665,
53,Giữa đất và nước,1500,1401,265,91,,251,1231,,973,1144,
54,Ngợp,2000,2032,245,105,,221,1739,,1612,1650,
55,Ba lối tới hồ,2000,2002,264,98,,238,1735,,1555,1638,
56,Bão lớn,1500,1453,191,72,,169,1308,,1107,1237,
57,Người lính tốt,2000,2100,194,99,,187,1792,,1729,1707,
58,Những chuyến dạo chơi,1500,1591,188,130,,225,1256,,1172,1182,
59,May,1500,1472,183,113,,191,1281,,1061,1204,
60,Nghĩ,2000,2040,218,151,,255,1716,,1548,1631,
61,Gentleman cắn thuốc phiện,1500,1535,208,128,,235,1243,,1079,1164,
62,Nghề sống,1000,921,208,137,,234,743,,482,655,
63,Hành khúc Radetzky,1500,1380,191,102,,185,1288,,1004,1207,
64,Sa mạc tình yêu,500,550,,272,,256,189,,109,228,
65,Job,700,700,,240,,202,454,,314,460,
66,Tristram Shandy,700,710,,257,,222,430,,289,443,
67,Một người tên là Thứ Năm,1200,1200,,250,,232,927,,956,950,
68,Washington Square,1200,1200,,222,,189,970,,997,978,
69,Lý thuyết tầng lớp nhàn rỗi,1200,1200,,272,,247,921,,911,928,
70,Những nỗi hoảng hốt của cậu học sinh Torless,1200,1200,,224,,206,959,,972,976,
71,Ông cha đạo ở Wakefield,1200,682,,176,,123,1077,,1024,1024,
72,Người phụ tá,1200,705,,166,,126,1074,,1034,1034,
73,Tay điệp viên,1200,390,,177,,128,1072,,1023,1023,
74,Tên mọi trên tàu Narcissus,1200,320,,171,,131,1069,,1029,1029,
