STT,TÊN SÁCH,,TỔNG ,TẶNG,,,,KỲ,,,,,,,
,,,,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",,SĐ,VP,SH,LẺ,ĐẠI LÝ,ĐẦU NẬU,MUA ĐỨT,MUA KHÁC,HỘI CHỢ
,,TỔNG 2024+,"XUẤT 
2025",,lưu chiểu/dịch giả/lỗi,thiện nguyện/CV,,,,,,,,,
,,17009,5815,291,293,762,267,355,355,395,2345,0,439,62,251
1,Bệnh tưởng ,130,1,0,0,1,,,,0,0,,0,0,0
2,Người biển lận,126,4,0,0,1,,,,0,3,,0,0,0
3,Trưởng giả học làm sang ,129,3,0,0,1,,,,0,2,,0,0,0
5,Khách ,77,0,0,0,0,,,,0,0,,0,0,0
4,Ondine ,130,29,1,0,5,,,,1,17,,1,0,4
6,Không có vua ,261,26,0,0,3,,,,1,21,,1,0,0
7,Vĩnh biệt ,289,43,1,0,2,,1,,6,30,,2,0,1
8,Tục ca lệ,176,17,0,0,4,,,,2,7,,1,0,3
9,Tê-lê-mặc phiêu lưu ký ,142,43,1,0,33,,,,2,5,,1,0,1
10,Tâm hồn và hình thức,208,42,3,0,4,,1,,3,28,,1,0,2
11,Mộc thần nữ ,273,51,2,1,16,,,,5,26,,1,0,0
12,Một câu chuyện từ những đụn cát ,246,62,2,1,21,,,,5,29,,1,0,3
13,Nàng tình nhân hờ ,271,53,0,0,3,,,,4,32,,2,0,12
14,Tiện bút 1,205,38,0,0,4,,,,6,21,,1,0,6
15,Middlemarch - Tập 1,192,40,3,1,6,,,,8,16,,2,1,3
16,Miếng da lừa ,215,65,1,0,32,,,,5,22,,1,0,4
17,Ba người ngự lâm pháo thủ,186,63,2,0,43,,,,3,12,,1,0,2
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,154,35,1,0,6,1,,,4,17,,1,0,5
19,Truyện con chó Berganza ,158,26,0,0,3,1,,,3,19,,0,0,0
20,Lịch sử (ngắn) văn chương Đức,204,39,3,0,5,,,1,4,16,,4,0,6
21,Le Spleen de Paris ,141,20,0,0,3,,1,,2,12,,1,0,1
22,Middlemarch - Tập 2 ,202,45,3,1,6,,,,8,21,,2,1,3
23,Truyện Gil-Blas (tập 1),153,17,1,0,3,,,1,1,8,,2,0,1
24,Truyện Gil-Blas (tập 2) ,150,17,1,0,3,,,1,1,8,,2,0,1
25,Đốc tờ Héraclius Gloss,335,47,1,0,6,1,,,1,27,,2,0,9
26,Đoản luận về giáo dục,349,32,0,0,7,,1,1,2,14,,5,0,2
27,Tiệc vườn,329,43,3,0,5,1,,,3,23,,7,0,1
28,Ở nhà trọ Đức,344,43,1,0,5,,,,4,21,,7,0,5
