STT,TÊN SÁCH,,TỔNG ,,,,TẶNG,,,,,,,,,BÁN,,,,,,
,,,,,,REVIEW,,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",,KHÉP HẠ + THU 2024,LẺ,,,ĐẠI LÝ,,,ĐẦU NẬU,"mua 
THƯ VIỆN",MUA ĐỨT,,MUA KHÁC,
,,TỔNG 2024+,"XUẤT 
T4-T6/24","XUẤT 
7-1/2025",THÁNG 7-11/2024,THÁNG 12/2024,THÁNG 1/2025,THÁNG 7-11/2024,THÁNG 12/2024,,THÁNG 7-11/2024,"THÁNG 
12/2024","THÁNG 
1/2025",THÁNG 7-11/2024,THÁNG 12/2024,"THÁNG 
1/2025",THÁNG 7-11/2024,THÁNG 7-11/2024,THÁNG 7-11/2024,THÁNG 12/2024,THÁNG 7-11/2024,THÁNG 12/2024
,,17009,4853,12156,1783,446,98,215,61,1037,344,38,65,3391,841,200,2297,187,716,200,120,117
1,Bệnh tưởng ,130,91,39,16,0,0,,,0,4,,,18,0,0,1,,0,0,0,
2,Người biển lận,126,88,38,16,0,0,,0,0,4,,,17,0,0,1,,0,0,0,
3,Trưởng giả học làm sang ,129,92,37,16,0,0,,0,0,4,,,16,0,0,1,,0,0,0,
5,Khách ,77,54,23,14,0,0,,0,0,2,,,6,0,0,1,,0,0,0,
4,Ondine ,130,12,118,21,0,1,5,0,0,3,1,,62,3,0,16,3,0,1,2,
6,Không có vua ,261,44,217,69,0,0,5,50,0,7,1,1,36,20,0,16,3,7,0,2,
7,Vĩnh biệt ,289,96,193,25,0,0,5,0,0,6,,2,100,8,9,16,3,17,0,2,
8,Tục ca lệ,176,51,125,17,0,0,5,0,0,5,,,39,3,2,16,3,32,1,2,
9,Tê-lê-mặc phiêu lưu ký ,142,50,92,24,0,0,5,0,0,5,,,30,0,0,16,3,6,1,2,
10,Tâm hồn và hình thức,208,78,130,23,0,0,5,0,1,3,,,60,4,4,16,6,6,0,2,
11,Mộc thần nữ ,273,78,195,39,1,2,5,0,2,3,,2,96,4,5,16,3,14,1,2,
12,Một câu chuyện từ những đụn cát ,246,59,187,39,1,2,5,0,0,4,,2,89,4,0,16,3,20,0,2,
13,Nàng tình nhân hờ ,271,85,186,22,0,0,5,0,0,5,,2,95,7,9,16,3,20,0,2,
14,Tiện bút 1,205,42,163,25,0,0,5,0,2,9,2,1,55,22,0,16,3,20,1,2,
15,Middlemarch - Tập 1,192,67,125,30,0,0,5,0,0,4,,,50,3,2,16,2,11,0,2,
16,Miếng da lừa ,215,75,140,23,0,0,5,0,0,7,,,71,4,0,16,2,10,0,2,
17,Ba người ngự lâm pháo thủ,186,67,119,22,0,2,5,0,1,7,,1,44,0,0,16,3,16,0,2,
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,154,57,97,18,0,0,5,0,0,2,,1,40,0,0,16,3,10,0,2,
19,Truyện con chó Berganza ,158,57,101,22,0,0,5,0,0,4,,,37,2,0,16,3,10,0,2,
20,Lịch sử (ngắn) văn chương Đức,204,76,128,19,0,0,5,0,0,4,,2,63,3,0,16,3,11,0,2,
21,Le Spleen de Paris ,141,58,83,15,0,0,,0,1,3,,,27,12,0,16,0,9,0,0,
22,Middlemarch - Tập 2 ,202,68,134,30,0,0,5,0,0,4,,1,55,3,2,16,3,13,0,2,
23,Truyện Gil-Blas (tập 1),153,50,103,30,0,0,5,0,0,6,,,30,0,0,16,3,10,1,2,
24,Truyện Gil-Blas (tập 2) ,150,50,100,30,0,0,5,0,0,6,,,30,0,0,16,3,7,1,2,
25,Đốc tờ Héraclius Gloss,335,145,190,16,0,0,5,0,0,2,,,52,3,0,97,5,7,1,2,
26,Đoản luận về giáo dục,349,142,207,21,0,0,5,0,1,4,1,,52,2,2,97,6,13,1,2,
27,Tiệc vườn,329,124,205,20,0,0,5,0,1,5,,1,57,3,0,97,3,9,2,2,
28,Ở nhà trọ Đức,344,139,205,16,0,0,5,0,1,5,1,1,63,0,0,97,3,9,2,2,
29,Một dấu hiệu của Tình yêu,299,115,184,19,1,0,5,0,0,7,,,36,5,0,97,2,9,1,2,
30,Soi gương,295,123,172,17,1,0,5,0,1,5,,,30,5,0,97,2,6,1,2,
