TÊN SÁCH,BÁN,TỒN THỰC TẾ,"THỜI GIAN 
BÁN HẾT
(tháng)","THỜI GIAN 
BÁN HẾT
(năm)"
Bệnh tưởng ,18,0,0,"0,0"
Người biển lận,14,0,0,"0,0"
Trưởng giả học làm sang ,13,0,0,"0,0"
Khách ,3,0,0,"0,0"
Ondine ,88,176,48,"4,0"
Không có vua ,68,47,17,"1,4"
Vĩnh biệt ,155,10,2,"0,1"
Tục ca lệ,78,181,56,"4,6"
Tê-lê-mặc phiêu lưu ký ,41,72,42,"3,5"
Tâm hồn và hình thức,93,220,57,"4,7"
Mộc thần nữ ,175,107,15,"1,2"
Một câu chuyện từ những đụn cát ,155,138,21,"1,8"
Nàng tình nhân hờ ,203,262,31,"2,6"
Tiện bút 1,93,225,58,"4,8"
Middlemarch - Tập 1,103,234,55,"4,5"
Miếng da lừa ,126,383,73,"6,1"
Ba người ngự lâm pháo thủ,61,311,122,"10,2"
Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,60,468,187,"15,6"
Truyện con chó Berganza ,57,478,201,"16,8"
Lịch sử (ngắn) văn chương Đức,63,10,4,"0,3"
Le Spleen de Paris ,61,128,50,"4,2"
Middlemarch - Tập 2 ,120,164,33,"2,7"
Truyện Gil-Blas (tập 1),43,42,23,"2,0"
Truyện Gil-Blas (tập 2) ,53,42,19,"1,6"
Đốc tờ Héraclius Gloss,99,272,66,"5,5"
Đoản luận về giáo dục,94,354,90,"7,5"
Tiệc vườn,98,212,52,"4,3"
Ở nhà trọ Đức,97,349,86,"7,2"
Một dấu hiệu của Tình yêu,66,848,308,"25,7"
Soi gương,55,54,24,"2,0"
Một chuyến đi ,52,28,13,"1,1"
Những người châu Âu ,65,274,101,"8,4"
Giống như là chết ,133,389,70,"5,8"
Những hiệu quế,223,207,22,"1,9"
Hành trình tình cảm,79,594,180,"15,0"
Le Spleen de Paris (Tái bản) ,108,314,70,"5,8"
Họa sĩ của cuộc sống hiện đại ,152,407,64,"5,4"
Con quái vật trong rừng và Bàn thờ người chết ,239,299,30,"2,5"
Giáo dục châu Âu ,99,754,183,"15,2"
Đoản luận: Văn chương ,123,73,14,"1,2"
Cháu trai Wittgenstein,104,543,125,"10,4"
Các khía cạnh của tiểu thuyết,257,87,8,"0,7"
Jacket trắng ,70,312,107,"8,9"
Ba truyện đời ,66,280,102,"8,5"
Vẽ một phụ nữ,119,524,106,"8,8"
Bốn tình yêu,505,1233,59,"4,9"
Daisy Miller & Di sản Aspern,275,1459,127,"10,6"
Dưỡng đường đồng hồ cát,461,1245,65,"5,4"
In illo Tempore,338,109,8,"0,6"
Hotel Savoy,281,1699,145,"12,1"
Ngắn,304,1144,90,"7,5"
Chuyện các bà vợ già,269,1665,149,"12,4"
Giữa đất và nước,251,1144,82,"6,8"
Ngợp,221,1650,134,"11,2"
Ba lối tới hồ,238,1638,124,"10,3"
Bão lớn,169,1237,132,"11,0"
Người lính tốt,187,1707,164,"13,7"
Những chuyến dạo chơi,225,1182,95,"7,9"
May,191,1204,113,"9,5"
Nghĩ,255,1631,115,"9,6"
Gentleman cắn thuốc phiện,235,1164,89,"7,4"
Nghề sống,234,655,50,"4,2"
Hành khúc Radetzky,185,1207,117,"9,8"
Sa mạc tình yêu,256,228,11,"0,9"
"Job, tiểu thuyết về một người thuần hậu",202,460,27,"2,3"
Tristram Shandy,222,443,24,"2,0"
Một người tên là Thứ Năm,232,950,49,"4,1"
Washington Square,189,978,62,"5,2"
Lý thuyết tầng lớp nhàn rỗi,247,928,45,"3,8"
Những nỗi hoảng hốt của cậu học sinh Torless,206,976,57,"4,7"
Ông cha đạo ở Wakefield,123,1024,50,"4,2"
Người phụ tá,126,1034,49,"4,1"
Tay điệp viên,128,1023,48,"4,0"
Tên mọi trên tàu Narcissus,131,1029,47,"3,9"
