,TÊN SÁCH,TỒN THỰC TẾ,GIÁ BÁN
29,Một dấu hiệu của Tình yêu,848,180000
39,Giáo dục châu Âu ,754,180000
35,Hành trình tình cảm,594,144000
41,Cháu trai Wittgenstein,543,63000
45,Vẽ một phụ nữ,524,234000
19,Truyện con chó Berganza ,478,90000
18,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,468,72000
37,Họa sĩ của cuộc sống hiện đại ,407,64000
33,Giống như là chết ,389,171000
16,Miếng da lừa ,383,153000
26,Đoản luận về giáo dục,354,144000
28,Ở nhà trọ Đức,349,72000
36,Le Spleen de Paris (Tái bản) ,314,99000
43,Jacket trắng ,312,198000
17,Ba người ngự lâm pháo thủ,311,189000
38,Con quái vật trong rừng và Bàn thờ người chết ,299,63000
44,Ba truyện đời ,280,117000
32,Những người châu Âu ,274,144000
25,Đốc tờ Héraclius Gloss,272,72000
13,Nàng tình nhân hờ ,262,45000
15,Middlemarch - Tập 1,234,199000
14,Tiện bút 1,225,81000
10,Tâm hồn và hình thức,220,135000
27,Tiệc vườn,212,144000
34,Những hiệu quế,207,72000
8,Tục ca lệ,181,45000
4,Ondine ,176,63000
22,Middlemarch - Tập 2 ,164,198000
12,Một câu chuyện từ những đụn cát ,138,54000
21,Le Spleen de Paris ,128,99000
11,Mộc thần nữ ,107,45000
42,Các khía cạnh của tiểu thuyết,87,81000
40,Đoản luận: Văn chương ,73,144000
9,Tê-lê-mặc phiêu lưu ký ,72,153000
30,Soi gương,54,120000
6,Không có vua ,47,42000
23,Truyện Gil-Blas (tập 1),42,144000
24,Truyện Gil-Blas (tập 2) ,42,144000
31,Một chuyến đi ,28,90000
7,Vĩnh biệt ,10,45000
20,Lịch sử (ngắn) văn chương Đức,10,126000
1,Bệnh tưởng ,0,36000
2,Người biển lận,0,36000
3,Trưởng giả học làm sang ,0,36000
5,Khách ,0,99000
