Quỳnh Mai,Tên sách,Còn,Nhập,Xuất,xuất tháng 4,xuất tháng 7,,Tây Hồ,Tên sách,Còn,Nhập,Xuất
,,10264,11/9,28/10/2025,25/4/2026,7/7/2026,,,,10264,10/8,tháng 8
,Hotel Savoy,1104,1104,,,,,,Nhàn,660,660,
,Ngắn,672,714,,,42,,,Torless,384,384,
,Chuyện các bà vợ già,840,840,,,,,,người phụ tá,360,360,
,Giữa đất và nước,720,833,65,,48,,,Cha đạo,384,384,
,Ngợp,1203,1203,,,,,,Washington,864,864,
,Ba lối tới hồ,918,918,,,,,,thứ năm,816,816,
,Bão lớn,875,966,49,,42,,,Bốn tình yêu,75,75,
,Người lính tốt,1544,1683,88,51,,,,Daisy,70,70,
,Những chuyến dạo chơi,642,642,,,,,,tristram,147,147,
,May,426,426,,,,,,tên mọi,50,50,
,Nghĩ,1296,1296,,,,,,tay điệp viên,66,66,
,Hành khúc Radetzky,1023,1023,,,,,,vễ một phụ nữ,96,96,
,,,,,,,,,Hành trình tình cảm,244,244,
