Time,Loại,Action,Tên/ link/ contact,Sách đã có,Địa chỉ,Update
,,,,,,
2024,quán,Tạo hoạt động,Nook,"ngợp
illo
thuốc phiện
...","Số 8 ngõ 12 Nguyễn Phúc Lai, Đống Đa, Hà Nội.",T11/2024
2024,quán,Contact tặng,Cầm,"""1. Nghĩ
2. Ba lối 
3. Ngợp 
4. Thơ 
5. Thuốc phiện 
6. Nghề sống""","Gác 3 - 6 Nguyễn Thượng Hiền, Nguyễn Du, Hai Bà Trưng, Hanoi, Vietnam
",T12/2024
2024,quán,Contact tặng,Thư viện Kafka,18 quyển,"""thư viện Kafka
Địa chỉ bên chị là 283 ấp đầu giồng xã phương thạnh huyện Càng Long Trà Vinh
Thuận 0939632992""",T12/2024
2025,THIỆN NGUYỆN,Contact tặng,,1bộ forma,"Nguyễn Văn Nghĩa-Lớp Thần IV, Đại Chủng viện Bùi Chu, xã Xuân Ngọc, huyện Xuân Trường, tỉnh Nam Định.
0364806115""",T2/2025
2025,thư viện trường,Contact tặng,,"- Bộ quốc ngữ (9q)
- 1 Andersen
- Không có vua
- Tử yên
- thơ
- dạo chơi",Bảo tàng tố hữu,T2/2025
2025,quán,Contact tặng,quán Casamia,"Ba lối tới hồ 
ngợp
illo
nghĩ
dạo chơi
may 
dưỡng đường, ","Casamia cafe, số 27 ngách 74 ngõ Thịnh Hào 1, Đống Đa, Hà Nội (quản lý: Ms Yến 0948181222)",T3/2025
2025,THIỆN NGUYỆN,Contact tặng,thư viện Bùi Chu,"36 ngự lâm
30 mdl
30 tê lê mặc","Sr. Nguyễn Thị Huệ, Thư Viện Đại Chủng Viện Bùi Chu, Xuân Ngọc, Xuân Trường, Nam Định, Đt. 0983 948 393",T3/2025
2025,ĐSQ,Contact tặng,ĐSQ BA LAN TẠI HN,BRUNO SCHULZ,"Đại sứ quán Ba Lan tại Hà Nội
Số 3 Chùa Một Cột, Ba Đình, Hà Nội
Người liên hệ: Quyên – ĐT:  0334090633",T3/2025
2025,thư viện trường,Contact tặng,"THƯ VIỆN 
Fulbright University Vietnam",1 BỌ,"""NGƯỜI NHẬN: Trương Minh Hoà
Fulbright University Vietnam
105 Tôn Dật Tiên, Phường Tân Phú, Quận 7, TP. Hồ Chí Minh
Điện thoại: +84 98 9305663""",T3/2025
2025,thư viện trường,Contact tặng,"THƯ VIẸN
VNU ",1 BỘ,"TRỊNH THU HÀ +84967246691
VNU Book store - Tầng 1 Nhà G4 Đại học Quốc gia HN",T3/2025
2025,quán,Contact tặng,TENMENT,THU,"Tenement 1B Lê Phụng Hiểu, Hanoi, Vietnam",T3/2025
,quán,quán,"""Things atelier (Quận 1)","Job, sa mạc","210 Cô Bắc,Cô Giang,Q1 (lầu 2)",
,quán,quán,Readinng cabin,"hành khúc, ba lối, ngợp, nghiện, nghĩ",Readinng cabin - Trân Huỳnh,
,quán,quán, alittle studio,"c trắng, sa mạc","""Hiệu sách
🏡 Chung cư 605 Nguyễn Trãi Q5 (Hướng dẫn trên highlight)""
chủ: https://www.instagram.com/direct/t/117959642929435/?hl=vi",
,quán,quán,"""The Madeleine Bookshop",thơ,"""The Madeleine Bookshop
Địa chỉ: The Park Residence, B5, 12 Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè
Số điện thoại: 0764540273 - Duyên",
,quán,quán,Sóc Văn Hóa,"nghề sống, đất, thơ"," 251/1 Nguyễn Văn Trỗi, Phú Nhuận, HCM
https://www.instagram.com/socvanhoa/?hl=vi",
,,"thiện nguyện, quán",,"Andersen, Ondine, Dạo chơi, Schulz, Thuốc phiện, Hotel Savoy, Sa mạc, 3 quyển Tử Yên, Tiện bút, Gil-Blas, Baudelaire","Mộc -  0369545237
nhặt nắng house, tà xùa, bắc yên, sơn la",
,,quán,https://www.instagram.com/direct/t/17842141667373532/#,1 bộ Vap,"oday
Nguyễn Hưng Hải 0916613198
Kadupul staycation
4/36 Đào Duy Từ, phường 4, thành phố Đà Lạt",
,,quán,,lý thuyết nhàn rỗi,heritage,
,,quán,,bộ vap,casamia,
,,quán,,"Hoảng hốt, thứ năm","14 Phan Huy Ích
Manzi Art Space
bạn có thể để tên người nhận là Tuân (098 3340399)",
,,quán,,"nhàn rỗi, nghĩ, nghiện, torless","quán cầm
Minh — 0912483794.
Cầm — 06 Nguyễn Thượng Hiền, phường Hai Bà Trưng ạ.",
,,quán,,"đốc tờ, spleen tím, lukacs, ba truyện đời, ở nhà trọ đức, di sản, những hiệu quế","Mono lab
Lab2: 19/55 Vân Hồ ( số 19 ngõ 101 Nguyễn Đình Chiểu). Hotline: 0898 589 689",
,,quán,,"
2 nhàn rỗi, 2 thứ năm, 1 washington, 1 torless","tranquil + blackbird
Nguyễn Thu Thảo
0962317697
60 Nguyễn Trường Tộ, Ba Đình, Hà Nội",
,,thiện nguyện,,"dạo chơi, ondine, hiêu quế, đôc tờ, cắn thuốc",Nguyễn việt hà  - 0385129211 - 42a lý đạo thành - sơn trà - đà nẵng,
,,,,"torless, washington, nghiên, sa mạc, đất, middlemarch, hotel, ngắn, lý thuyết nhàn, những hiệu quế","row7, Số 7 Hàng Ngang
https://www.instagram.com/row7th/?hl=vi",
