STT,"SL bán
2024+2025",,SL tặng,báo,hội nhóm ,Ong hội,Ong bay,insta,tiktok,hoạt động
1,18,Bệnh tưởng ,1,,,,,,,1
2,14,Người biển lận,1,,,,,,,1
3,13,Trưởng giả học làm sang ,1,,,,,,,1
4,3,Khách ,0,,,,,,,
5,75,Ondine ,4,,,,,3,1,
6,66,Không có vua ,0,,,,,,,
7,150,Vĩnh biệt ,4,,2,,,2,,
8,70,Tục ca lệ,0,,,,,,,
9,36,Tê-lê-mặc phiêu lưu ký ,4,,4,,,,,
10,77,Tâm hồn và hình thức,1,,,,,1,,
11,154,Mộc thần nữ ,1,,,,,1,,
12,138,Một câu chuyện từ những đụn cát ,0,,,,,,,
13,173,Nàng tình nhân hờ ,2,,2,,,,,
14,74,Tiện bút 1,3,,3,,,,,
15,69,Middlemarch - Tập 1,4,,3,,,,1,
16,106,Miếng da lừa ,4,,3,,,,1,
17,54,Ba người ngự lâm pháo thủ,3,,3,,,,,
18,44,Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,1,,1,,,,,
19,46,Truyện con chó Berganza ,0,,,,,,,
20,54,Lịch sử (ngắn) văn chương Đức,0,,,,,,,
21,54,Le Spleen de Paris ,0,,,,,,,
22,86,Middlemarch - Tập 2 ,4,,3,,,,1,
23,38,Truyện Gil-Blas (tập 1),2,,2,,,,,
24,48,Truyện Gil-Blas (tập 2) ,2,,2,,,,,
25,83,Đốc tờ Héraclius Gloss,1,,,,,1,,
26,82,Đoản luận về giáo dục,0,,,,,,,
27,85,Tiệc vườn,1,1,,,,,,
28,82,Ở nhà trọ Đức,0,,,,,,,
29,61,Một dấu hiệu của Tình yêu,2,2,,,,,,
30,51,Soi gương,0,,,,,,,
31,49,Một chuyến đi ,0,,,,,,,
32,52,Những người châu Âu ,0,,,,,,,
33,107,Giống như là chết ,1,,,,,,,1
34,188,Những hiệu quế,12,2,3,,,7,,
35,69,Hành trình tình cảm,0,,,,,,,
36,92,Le Spleen de Paris (Tái bản) ,0,,,,,,,
37,116,Họa sĩ của cuộc sống hiện đại ,1,,,,,,,1
38,196,Con quái vật trong rừng và Bàn thờ người chết ,4,,4,,,,,
39,88,Giáo dục châu Âu ,10,2,,,,7,,1
40,115,Đoản luận: Văn chương ,0,,,,,,,
41,86,Cháu trai Wittgenstein,0,,,,,,,
42,203,Các khía cạnh của tiểu thuyết,0,,,,,,,
43,59,Jacket trắng ,0,,,,,,,
44,56,Ba truyện đời ,1,,,,,,,1
45,94,Vẽ một phụ nữ,9,,7,,,1,1,
46,466,Bốn tình yêu,13,2,3,,,8,,
47,253,Daisy Miller & Di sản Aspern,5,,5,,,,,
48,428,Dưỡng đường đồng hồ cát,9,1,2,,,4,1,1
49,316,In illo Tempore,3,2,,,,,,1
50,251,Hotel Savoy,5,1,3,,,1,,
51,262,Ngắn,4,,4,,,,,
52,247,Chuyện các bà vợ già,9,1,2,,,4,2,
53,221,Giữa đất và nước,2,1,1,,,,,
54,189,Ngợp,3,,3,,,,,
55,202,Ba lối tới hồ,4,,2,,2,,,
56,141,Bão lớn,1,,1,,,,,
57,154,Người lính tốt,3,,2,,,1,,
58,179,Những chuyến dạo chơi,2,1,,1,,,,
59,159,May,2,,2,,,,,
60,215,Nghĩ,1,,1,,,,,
61,195,Gentleman cắn thuốc phiện,1,,,1,,,,
62,198,Nghề sống,3,,1,,2,,,
63,151,Hành khúc Radetzky,2,,1,1,,,,
64,212,job,2,,,,1,1,,
65,180,sa mạc,3,,1,,1,1,,
66,192,tristram,0,,,,,,,
67,163,Một người tên là Thứ Năm,4,,1,,2,1,,
68,146,Washington Square,4,,3,,,1,,
69,172,Lý thuyết tầng lớp nhàn rỗi,4,,3,,1,,,
70,144,Những nỗi hoảng hốt của cậu học sinh Torless,6,,5,,1,,,
