TÊN SÁCH,THÁNG 4, THÁNG 5,THÁNG 6,THÁNG 7,THÁNG 8,THÁNG 9,THÁNG 10,THÁNG 11,THÁNG 4-11,THÁNG 12,THÁNG 1/2025
,,,,,,,,,,,
,,,,,,,,,,,
Bệnh tưởng ,6,,1,1,,8,,,16,0,0
Người biển lận,6,,1,1,,8,,,16,0,0
Trưởng giả học làm sang ,6,,1,1,,8,,,16,0,0
Khách ,6,,,1,,7,,,14,0,0
Ondine ,6,,,2,2,10,,1,21,0,1
Không có vua ,6,,,1,1,8,2,51,69,50,0
Vĩnh biệt ,6,,1,1,3,11,2,1,25,0,0
Tục ca lệ,6,,,1,,7,2,1,17,0,0
Tê-lê-mặc phiêu lưu ký ,6,,2,1,1,10,3,1,24,0,0
Tâm hồn và hình thức,6,,,1,3,10,,3,23,0,0
Mộc thần nữ ,6,,,1,11,18,2,1,39,1,2
Một câu chuyện từ những đụn cát ,6,,,1,11,18,2,1,39,1,2
Nàng tình nhân hờ ,6,,,1,3,10,1,1,22,0,0
Tiện bút 1,6,,,1,4,11,1,2,25,0,0
Middlemarch - Tập 1,6,1,2,1,3,13,3,1,30,0,0
Miếng da lừa ,6,,1,1,3,11,,1,23,0,0
Ba người ngự lâm pháo thủ,6,,2,1,1,10,1,1,22,0,2
Tú tài thủy tinh cùng Rinconete và Cortadillo và Lão già ghen ở Estramadoure,6,,,1,1,8,1,1,18,0,0
Truyện con chó Berganza ,6,,1,1,2,10,1,1,22,0,0
Lịch sử (ngắn) văn chương Đức,6,,,1,1,8,1,2,19,0,0
Le Spleen de Paris ,6,,,1,,7,,1,15,0,0
Middlemarch - Tập 2 ,6,1,2,1,3,13,3,1,30,0,0
Truyện Gil-Blas (tập 1),6,4,,1,2,13,3,1,30,0,0
Truyện Gil-Blas (tập 2) ,6,4,,1,2,13,3,1,30,0,0
Đốc tờ Héraclius Gloss,6,,,1,,7,1,1,16,0,0
Đoản luận về giáo dục,6,,1,1,1,9,2,1,21,0,0
Tiệc vườn,6,,2,1,,9,1,1,20,0,0
Ở nhà trọ Đức,6,,,1,,7,1,1,16,0,0
Một dấu hiệu của Tình yêu,6,,,1,1,8,1,2,19,1,0
Soi gương,6,,,1,,7,1,2,17,1,0
Một chuyến đi ,6,,2,1,,9,1,2,21,1,0
Những người châu Âu ,6,,2,1,1,10,1,1,22,0,0
Giống như là chết ,6,,1,1,1,9,1,1,20,0,0
Những hiệu quế,6,,1,1,1,9,1,1,20,0,0
Hành trình tình cảm,6,32,1,1,,40,,1,81,0,2
Le Spleen de Paris (Tái bản) ,6,,1,1,2,10,3,2,25,0,1
Họa sĩ của cuộc sống hiện đại ,6,,,1,1,8,1,2,19,1,1
Con quái vật trong rừng và Bàn thờ người chết ,6,1,3,1,1,12,1,1,26,0,0
Giáo dục châu Âu ,6,,1,1,,8,2,1,19,0,0
Đoản luận: Văn chương ,6,,1,1,,8,1,1,18,0,0
Cháu trai Wittgenstein,6,,2,1,1,10,1,2,23,0,0
Các khía cạnh của tiểu thuyết,6,,1,1,1,9,1,1,20,0,0
Jacket trắng ,6,,2,1,,9,3,2,23,0,0
Ba truyện đời ,6,,1,1,,8,1,1,18,0,1
Vẽ một phụ nữ,6,,9,1,1,17,1,1,36,0,0
Bốn tình yêu,6,11,8,4,14,43,1,2,89,1,3
Daisy Miller & Di sản Aspern,6,12,9,3,12,42,,1,85,0,1
Dưỡng đường đồng hồ cát,6,12,10,3,13,44,1,5,94,0,2
In illo Tempore,1,51,15,7,9,83,15,1,182,1,3
Hotel Savoy,,,,,,0,19,7,26,2,2
Ngắn,,,,,,0,36,7,43,1,2
Chuyện các bà vợ già,,,,,1,1,25,22,49,3,3
Giữa đất và nước,,,,,,,,,13,37,7
Ngợp,,,,,,,,,8,34,10
Ba lối tới hồ,,,,,,,,,18,44,7
Bão lớn,,,,,,,,,9,37,7
Người lính tốt,,,,,,,,,14,40,3
Những chuyến dạo chơi,,,,,,,,,4,40,3
May,,,,,,,,,5,33,9
Nghĩ,,,,,,,,,6,39,6
Gentleman cắn thuốc phiện,,,,,,,,,14,43,7
Nghề sống,,,,,,,,,15,44,5
Hành khúc Radetzky,,,,,,,,,4,41,6
,,,,,,,,,1783,496,98
