,Ngày,Tổng,,,Regular,,,,,Exceptional,,,,Xuất bản,,,Phát sinh,
,,,Ship cho đại lý,VAT,Helper,Vật liệu gói,Đồ dùng office,Chi phí đi lại/ăn uống,Đặt sách,Project,Vận chuyển,Website,Công việc,Phí XB,In,Dịch,phí hoàn sách,Văn phòng
1/2026,,"4,120,913 ₫","861,000 ₫","809,913 ₫","400,000 ₫","132,000 ₫","221,000 ₫","389,000 ₫","1,258,000 ₫","50,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
2/2026,,"2,468,693 ₫","670,000 ₫","740,693 ₫",0 ₫,"195,000 ₫","280,000 ₫",0 ₫,"295,000 ₫",0 ₫,0 ₫,0 ₫,"288,000 ₫",0 ₫,0 ₫,0 ₫,"10,000 ₫",0 ₫
3/2026,,"1,962,997 ₫","570,000 ₫","553,997 ₫",0 ₫,0 ₫,"330,000 ₫","108,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,"401,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
4/2026,,"6,440,115 ₫","1,423,440 ₫","1,101,945 ₫","500,000 ₫","1,443,031 ₫","415,699 ₫","398,000 ₫","892,000 ₫","249,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"17,000 ₫",0 ₫
5/2026,,"3,391,242 ₫","1,103,000 ₫","987,542 ₫","400,000 ₫","588,700 ₫","172,000 ₫","120,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,"20,000 ₫"
6/2026,,"11,139,561 ₫","812,000 ₫","9,825,561 ₫",0 ₫,"50,000 ₫","278,000 ₫","110,000 ₫","64,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
7/2026,,"3,714,840 ₫","1,115,000 ₫","70,840 ₫","500,000 ₫","160,000 ₫","505,000 ₫","40,000 ₫","274,000 ₫",0 ₫,0 ₫,"450,000 ₫","600,000 ₫",0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
8/2026,,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫,0 ₫
1/1,mua GIẤY can,,,,,,"90,000 ₫",,,,,,,,,,,
,Tẩy,,,,,,"30,000 ₫",,,,,,,,,,,
,ship ĐT,,"19,000 ₫",,,,,,,,,,,,,,,
,an trua,,,,,,,"40,000 ₫",,,,,,,,,,
2/1,caphe,,,,,,,"30,000 ₫",,,,,,,,,,
3/1,ship DT,,"17,000 ₫",,,,,,,,,,,,,,,
,an trua x3,,,,,,,"105,000 ₫",,,,,,,,,,
,ship DT,,"26,000 ₫",,,,,,,,,,,,,,,
,ship BB,,"26,000 ₫",,,,,,,,,,,,,,,
,thue dong hang,,,,"400,000 ₫",,,,,,,,,,,,,
4/1,ship lẻ SH x 2,,"50,000 ₫",,,,,,,,,,,,,,,
,ship lẻ SH x 3,,"40,000 ₫",,,,,,,,,,,,,,,
5/1,ship BB,,"32,000 ₫",,,,,,,,,,,,,,,
,nước,,"25,000 ₫",,,,,,,,,,,,,,,
6/1,ship ĐT,,"33,000 ₫",,,,,,,,,,,,,,,
,ăn trua x2,,,,,,,"43,000 ₫",,,,,,,,,,
7/1,an trua,,,,,,,"40,000 ₫",,,,,,,,,,
,ship dt,,"18,000 ₫",,,,,,,,,,,,,,,
,ship dế,,"23,000 ₫",,,,,,,,,,,,,,,
,ship BB,,"31,000 ₫",,,,,,,,,,,,,,,
9/1,ship phan anh,,"33,000 ₫",,,,,,,,,,,,,,,
,an trua,,,,,,,"40,000 ₫",,,,,,,,,,
,ship khánh,,"21,000 ₫",,,,,,,,,,,,,,,
,đặt sách AD -fahasa,,,,,,,,"972,000 ₫",,,,,,,,,
10/1,ship DT,,"19,000 ₫",,,,,,,,,,,,,,,
,ship BB,,29000,,,,,,,,,,,,,,,
,ship,,"30,000 ₫",,,,,,,,,,,,,,,
,phí BSMS,,,"108,570 ₫",,,,,,,,,,,,,,
12/1,ship,,"25,000 ₫",,,,,,,,,,,,,,,
,ann trua x2,,,,,,,"80,000 ₫",,,,,,,,,,
,ship,,"29,000 ₫",,,,,,,,,,,,,,,
,mua sách Mắt trần,,,,,,,,"154,000 ₫",,,,,,,,,
,ship,,"18,000 ₫",,,,,,,,,,,,,,,
,nước khoágng chai,,,,,,,"11,000 ₫",,,,,,,,,,
22/1,SHIP,,"39,000 ₫",,,,,,,,,,,,,,,
,SHIP,,"23,000 ₫",,,,,,,,,,,,,,,
23/1,SHIP,,"23,000 ₫",,,,,,,,,,,,,,,
,,,"40,000 ₫",,,,,,,,,,,,,,,
24/1,THUẾ ,,,"701,343 ₫",,,,,,,,,,,,,,
,MUA GIẤY CAN WS,,,,,,,,,"50,000 ₫",,,,,,,,
,SHIP,,"23,000 ₫",,,,,,,,,,,,,,,
25/1,SHIP ,,"27,000 ₫",,,,,,,,,,,,,,,
26/1,,,"25,000 ₫",,,,,,,,,,,,,,,
,xốp nổ x 2,,,,,"132,000 ₫",,,,,,,,,,,,
,kẹp file,,,,,,"30,000 ₫",,,,,,,,,,,
,kẹp sắt 1 hộp,,,,,,"25,000 ₫",,,,,,,,,,,
28/1,ship,,"25,000 ₫",,,,,,,,,,,,,,,
,BB ship,,"35,000 ₫",,,,,,,,,,,,,,,
,mua nước vp,,,,,,"46,000 ₫",,,,,,,,,,,
,ship bb,,"30,000 ₫",,,,,,,,,,,,,,,
30/1,ship dt,,"27,000 ₫",,,,,,,,,,,,,,,
,mua sách NN,,,,,,,,"132,000 ₫",,,,,,,,,
1/2,phí hoàn,,,,,,,,,,,,,,,,"10,000 ₫",
,ship đt,,"27,000 ₫",,,,,,,,,,,,,,,
,ship ĐT,,"17,000 ₫",,,,,,,,,,,,,,,
,,,,,,,,,"295,000 ₫",,,,,,,,,
,SHIP BB,,"29,000 ₫",,,,,,,,,,,,,,,
,SHIP ĐT,,"26,000 ₫",,,,,,,,,,,,,,,
,SHIP ĐT,,"46,000 ₫",,,,,,,,,,,,,,,
,SHIP ĐT,,"69,000 ₫",,,,,,,,,,,,,,,
,SHIP DTD,,"60,000 ₫",,,,,,,,,,,,,,,
,SHIP BB,,"58,000 ₫",,,,,,,,,,,,,,,
,SHIP ĐT,,"59,000 ₫",,,,,,,,,,,,,,,
,SHIP BB,,"41,000 ₫",,,,,,,,,,,,,,,
10/2,in nhà xứ cũ,,,,,,,,,,,,"180,000 ₫",,,,,
11/2,ship sách cho trân,,,,,,,,,,,,"60,000 ₫",,,,,
,phí BSMS,,,"80,080 ₫",,,,,,,,,,,,,,
,VAT,,,"660,613 ₫",,,,,,,,,,,,,,
,biển tên vitanova,,,,,,"280,000 ₫",,,,,,,,,,,
,ship anh dũng,,,,,,,,,,,,"48,000 ₫",,,,,
23/2,SHIP ĐT,,"36,000 ₫",,,,,,,,,,,,,,,
,SHIP BB,,"47,000 ₫",,,,,,,,,,,,,,,
24/2,SHIP đt,,"50,000 ₫",,,,,,,,,,,,,,,
25/2,SHIP đt,,"39,000 ₫",,,,,,,,,,,,,,,
,mua giấy gói hàng 2c,,,,,"195,000 ₫",,,,,,,,,,,,
27/2,SHIP BB,,"26,000 ₫",,,,,,,,,,,,,,,
27/2,SHIP đt,,"20,000 ₫",,,,,,,,,,,,,,,
28/2,SHIP đt,,"20,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship sách cho aD,,,,,,,,,,,,"48,000 ₫",,,,,
tháng 3,ship đông tây,,"20,000 ₫",,,,,,,,,,,,,,,
tháng 3,mua mực in,,"40,000 ₫",,,,"330,000 ₫",,,,,,,,,,,
tháng 3,ship ĐT,,,"35,000 ₫",,,,,,,,,,,,,,
tháng 3,shipdt,,"23,000 ₫",,,,,,,,,,,,,,,
tháng 3,shipdt,,"24,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship bình,,"24,000 ₫",,,,,,,,,,,,,,,
tháng 3,Hội An - nước,,,,,,,,,,,,"140,000 ₫",,,,,
tháng 3,HA - Taxi,,,,,,,,,,,,"43,000 ₫",,,,,
tháng 3,HA - Taxi,,,,,,,,,,,,"41,000 ₫",,,,,
tháng 3,HA - Taxi,,,,,,,,,,,,"42,000 ₫",,,,,
tháng 3,phí BSMS,,,"31,570 ₫",,,,,,,,,,,,,,
tháng 3,ship ĐT,,"16,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"16,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"17,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,18000,,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"38,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"34,000 ₫",,,,,,,,,,,,,,,
tháng 3,thuế t2,,,"81,927 ₫",,,,,,,,,,,,,,
tháng 3,ship anh dũng,,,,,,,,,,,,"55,000 ₫",,,,,
tháng 3,ship ĐT,,"20,000 ₫",,,,,,,,,,,,,,,
tháng 3,Sao kê ngân hàng,,,"405,500 ₫",,,,,,,,,,,,,,
tháng 3,ship ĐT,,"30,000 ₫",,,,,,,,,,,,,,,
tháng 3,mua nước,,,,,,,"28,000 ₫",,,,,,,,,,
tháng 3,ăn trưa x 2,,,,,,,"80,000 ₫",,,,,,,,,,
tháng 3,ship ĐT,,"30,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"26,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship thục anh,,"20,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship thục anh,,"25,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"28,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"32,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"25,000 ₫",,,,,,,,,,,,,,,
tháng 3,in tài liệu,,,,,,,,,,,,"12,000 ₫",,,,,
tháng 3,tiền gửi xe,,,,,,,,,,,,"20,000 ₫",,,,,
tháng 3,ship ĐT,,"30,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship thục anh,,"17,000 ₫",,,,,,,,,,,,,,,
tháng 3,ship ĐT,,"17,000 ₫",,,,,,,,,,,,,,,
4 ₫,Thùng carton,,,,,"441,000 ₫",,,,,,,,,,,,
4 ₫,xốp nổ,,,,,"140,000 ₫",,,,,,,,,,,,
4 ₫,bún cá trưa,,,,,,,"80,000 ₫",,,,,,,,,,
4 ₫,đóng hàng,,,,"500,000 ₫",,,,,,,,,,,,,
4 ₫,thùng carton,,,,,"237,387 ₫",,,,,,,,,,,,
4 ₫,túi bóng đỏ đựnng hàng,,,,,"80,000 ₫",,,,,,,,,,,,
4 ₫,băng dính,,,,,"356,431 ₫",,,,,,,,,,,,
4 ₫,túi giấy 25 tuid,,,,,"85,213 ₫",,,,,,,,,,,,
4 ₫,hộp mực carnon,,,,,,"151,199 ₫",,,,,,,,,,,
4 ₫,giấy màu,,,,,,"50,000 ₫",,,,,,,,,,,
4 ₫,hộp carton loại gói 1 cuốn x 50,,,,,"70,000 ₫",,,,,,,,,,,,
4 ₫,ship ĐT thág 5,,"14,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"19,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"36,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"13,440 ₫",,,,,,,,,,,,,,,
4 ₫,,,"19,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"28,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship bóng nổ,,,,,"33,000 ₫",,,,,,,,,,,,
4 ₫,ship xanh,,"23,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"62,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"25,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"35,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"60,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"34,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"27,000 ₫",,,,,"40,000 ₫",,,,,,,,,,
4 ₫,,,"31,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship phi,,"51,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"57,000 ₫",,,,,,,,,,,,,,,
4 ₫,phí bsms,,,"33,110 ₫",,,,,,,,,,,,,,
4 ₫,"tạp hoá - mua giấy vp, ghim, kẹp, bút",,,,,,"214,500 ₫",,,,,,,,,,,
4 ₫,ship đôg tây - hoàn,,"28,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship casamia,,"44,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"28,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"38,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"29,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"25,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"26,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"37,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"20,000 ₫",,,,,,,,,,,,,,,
4 ₫,mua sách Suy tư kiến trúc,,,,,,,,"332,000 ₫",,,,,,,,,
4 ₫,shhip xanh,,"20,000 ₫",,,,,,,,,,,,,,,
4 ₫,shhip xanh,,"19,000 ₫",,,,,,,,,,,,,,,
4 ₫,shhip xanh,,"19,000 ₫",,,,,,,,,,,,,,,
4 ₫,shhip xanh,,"18,000 ₫",,,,,,,,,,,,,,,
4 ₫,khảo sát chợ ĐX -  tiền ăn,,,,,,,,,"205,000 ₫",,,,,,,,
4 ₫,,,"18,000 ₫",,,,,,,,,,,,,,,
4 ₫,sách AD - mua,,,,,,,,"560,000 ₫",,,,,,,,,
4 ₫,tiền in ĐSQ ý,,,,,,,,,"44,000 ₫",,,,,,,,
4 ₫,ship ĐSQ,,"26,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship hoàn,,,,,,,,,,,,,,,,"17,000 ₫",
4 ₫,ship xanh,,"27,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"35,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"19,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"17,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"15,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"15,000 ₫",,,,,,,,,,,,,,,
4 ₫,nộp thuế,,,"68,835 ₫",,,,,,,,,,,,,,
4 ₫,ship xanh,,"22,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"15,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"14,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"15,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"32,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"42,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"21,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"20,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"22,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship xanh,,"21,000 ₫",,,,,,,,,,,,,,,
4 ₫,ô mai hội sách,,,,,,,"160,000 ₫",,,,,,,,,,
4 ₫,cà phê LMQ,,,,,,,"33,000 ₫",,,,,,,,,,
4 ₫,ăn trưa,,,,,,,"45,000 ₫",,,,,,,,,,
4 ₫,ship xanh,,"38,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"32,000 ₫",,,,,,,,,,,,,,,
4 ₫,,,"26,000 ₫",,,,,,,,,,,,,,,
4 ₫,bún chả,,,,,,,"40,000 ₫",,,,,,,,,,
4 ₫,xanh sm,,"28,000 ₫",,,,,,,,,,,,,,,
4 ₫,ship thuc anh,,"18,000 ₫",,,,,,,,,,,,,,,
4 ₫,tiền cơ quan thuế,,,"1,000,000 ₫",,,,,,,,,,,,,,
5 ₫,GIẤY GÓI,,,,,"205,500 ₫",,,,,,,,,,,,
5 ₫,hộp carton + băng dính,,,,,"383,200 ₫",,,,,,,,,,,,
5 ₫,ship đông tây,,"42,000 ₫",,,,,,,,,,,,,,,
5 ₫,cà phê,,,,,,,"30,000 ₫",,,,,,,,,,
5 ₫,ship đông tây,,"30,000 ₫",,,,,,,,,,,,,,,
5 ₫,ship đông tây,,"26,000 ₫",,,,,,,,,,,,,,,
5 ₫,ship đông tây,,"14,000 ₫",,,,,,,,,,,,,,,
5 ₫,ship đông tây,,"15,000 ₫",,,,,,,,,,,,,,,
5 ₫,ship anh Dũng,,"32,000 ₫",,,,,,,,,,,,,,,
5 ₫,in ấn đồng xuân,,,,,,,,,,,,,,,,,"20,000 ₫"
5 ₫,ship ĐT,,"20,000 ₫",,,,,,,,,,,,,,,
5 ₫,phí BSMS,,,"118,580 ₫",,,,,,,,,,,,,,
5 ₫,ship ĐT,,"34,000 ₫",,,,,,,,,,,,,,,
