,,TỔNG,by season,Ship kỳ,Ship mua,Ship tặng,ship Đại lý
2024,Tháng 6,,Hạ 16/6: 340k,,,,
,Tháng 7,"11,189,000",,,"391,000","298,000","10,500,000đ"
,Tháng 8,"1,793,088",,,"135,000","430,000","1,228,088đ"
,Tháng 9,"4,572,000",illo: 112k,"2,760,000","40,000",,"1,772,000đ"
,,"1,459,000",l'été 22/9: 398k,,,,"1,459,000đ"
,Tháng 10,"3,168,000",,,"137,000","1,170,000","1,861,000đ"
,Tháng 11,"1,531,000",11/11: 3q kỳ thu,"1,154,000 ₫",,"854,000","677,000đ"
,Tháng 12,"4,782,000",,"2,981,000",,"655,000","1,146,000đ"
2025,tháng 1,"1,830,000",,,"68,000","1,104,000","658,000đ"
,tháng 2,"1,744,000","48,000đ","55,000","20,000","795,000","874,000đ"
,tháng 3,"2,006,000",,"34,000",,"1,212,000","760,000đ"
,tháng 4,"3,287,000",sđ: 455k,"2,193,000",,"600,000","494,000đ"
,tháng 5,"1,105,000",,,,"218,000","887,000đ"
,tháng 6,"912,000",,,,"90,000","822,000đ"
,tháng 7,"3,718,000",VP: 635000,"1,892,000",,"519,000","1,307,000đ"
,tháng 8,"1,668,000",,,"110,000","865,000","693,000đ"
,tháng 9,"1,051,000",,"25,000","141,000","324,000","561,000đ"
,tháng 10,"1,004,000",,,,"352,000","652,000đ"
,tháng 11,"392,000",,,"45,000","128,000","219,000đ"
,tháng 12,"1,118,000",,,,"250,000","868,000đ"
2025,tháng 1,"3,427,000",SH: 639k,"1,986,000","25,000","555,000","861,000đ"
,tháng 2,"670,000",,,,,"670,000đ"
,tháng 3,"597,000",,,,"27,000","570,000đ"
,tháng 4,"3,174,440",LO: 653K,"1,477,000","27,000","247,000","1,423,440đ"
,tháng 5,"2,300,000",CT: 224k,"1,197,000",,,"1,103,000đ"
,tháng 6,"939,000",,"127,000",,,"812,000đ"
,tháng 7,0,,,,,
,tháng 8,"1,400,000",,"1,400,000",,,
,tháng 9,0,,,,,
,tháng 10,0,,,,,
,tháng 11,0,,,,,
,tháng 12,0,,,,,
