THÁNG,PHẢI NỘP,NGÀY NHẬN,GHN,GHTK,SPX,
,,,,,,
Tháng 1,,3/1/2025,"4,598,500đ",,,
,,10/1/2025,"604,401đ",,,
,,17/1/2025,"852,000đ",,,
,,24/1/2025,"1,237,300đ",,,
Tháng 2,,07/02//2025,"1,736,900đ",,,
,,14/2/2025,"2,529,400đ",,,
,,27/2/2025,,"69,500đ",,
tháng 3,,2/3/2025,,"69,500đ",,
,,28/3/2025,"133,000đ",,,
tháng 4,,4/4/2025,"2,013,400đ",,,
,,18/4,"13,993,500đ",,,
,,25/4,"1,140,500đ",,,
tháng 5,,9/5,"442,500đ",,,"22,000đ"
,,16/5,"472,500đ",,,
,,23/5,"524,550đ",,,
tháng 6,58690,6/6,"462,500đ",,,
,,,,,,"1,601,340đ"
,,,,,,"182,000đ"
,,,,,,"966,000đ"
,,,,,,"539,000đ"
,,,,,,"162,000đ"
tháng 7,,4/7,"420,500đ",,"190,000đ",
,,18/7,,,"105,000đ",
,,25/7,"686,280đ",,,
